from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,960.0,508.49952438400874,0.5296870045666757,0.4988584474885845,0.5046803652968036
CZ,AT,640.0,299.28830276652997,0.46763797307270305,0.336986301369863,0.36312785388127855
DE,AT,4000.0,1043.448439178548,0.260862109794637,0.02408675799086758,0.03995433789954338
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,188.0,0.0,0.0,0.0,0.0
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,800.0,603.9461419964754,0.7549326774955942,0.6521689497716895,0.6740867579908676
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,2640.0,2570.0383349553576,0.9734993693012718,0.9497716894977168,0.95662100456621
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1120.0,11.108164257890662,0.00991800380168809,0.0021689497716894978,0.0029680365296803654
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,800.0,2.710730964600516,0.0033884137057506453,0.0017123287671232876,0.0019406392694063927
AT,CH,960.0,37.058496874646906,0.03860260091109053,0.01906392694063927,0.022488584474885845
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2160.0,308.95476586897,0.14303461382822685,0.06723744292237444,0.07408675799086759
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,2520.0,2215.652543610195,0.8792271998453155,0.8513698630136987,0.858675799086758
IT,CH,1528.0,0.0,0.0,0.0,0.0
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,720.0,15.376191076824393,0.021355820940033878,0.010159817351598174,0.01141552511415525
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1200.0,65.18047735240044,0.05431706446033371,0.011757990867579908,0.015639269406392695
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,640.0,146.662042873859,0.2291594419904047,0.22054794520547946,0.2219178082191781
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,4000.0,558.0890202017856,0.1395222550504464,0.0773972602739726,0.0841324200913242
BE,DE,800.0,46.40122866368311,0.05800153582960389,0.03299086757990868,0.03721461187214612
