zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,1810.7791113018557,9006.0,-910.0113395199575,0.20856704806517573,0.10104500771929352
BE,8040.0,3982.4130403705026,7440.0,-2648.6587198184807,0.4953250050212068,0.3560025161046345
CH,10752.0,3663.567787653531,13608.0,-6501.477066473091,0.34073361120289536,0.4777687438619262
CZ,3840.0,336.97502601264324,4200.0,-1125.4756334715123,0.08775391302412584,0.26797038892178865
DE,31236.0,6336.833695727761,26118.0,-8443.86506157207,0.20286956382788324,0.3232967708695946
DK,8184.0,2790.7163100016546,9054.0,-2493.1977641195417,0.3409966165691171,0.2753697552595032
ES,3360.0,2871.912018766079,3120.0,-70.17450208050886,0.854735719870857,0.022491827589906685
FR,14772.0,424.9560044892333,20940.0,-18255.629649126673,0.02876766886604612,0.8718065735017514
IT,10854.0,10800.89566329522,5346.0,-1.6188980363620398,0.9951073948125317,0.0003028241744036737
NL,10860.0,6692.725267867662,9660.0,-1384.8065517037262,0.6162730449233574,0.14335471549728016
NO,9282.0,1986.3301098426741,8922.0,-2626.763818935418,0.21399807259671128,0.2944142365989036
PL,2040.0,1321.7574232455781,4680.0,-1353.2549720991492,0.6479203055125383,0.28915704532033104
SE,8820.0,1096.9675646371356,8628.0,-3035.6659511664398,0.12437273975477728,0.35183889095577653
UK,4800.0,4742.925075965898,4800.0,-9.15417105449544,0.9881093908262287,0.0019071189696865502
