from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,960.0,468.17052953534744,0.4876776349326536,0.4502283105022831,0.4535388127853881
CZ,AT,640.0,83.59674135367575,0.13061990836511836,0.09143835616438356,0.09805936073059361
DE,AT,4000.0,177.19408512611,0.044298521281527496,0.008105022831050229,0.010616438356164383
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,188.0,1.171417819992781,0.006230945851025431,0.0058219178082191785,0.0058219178082191785
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,800.0,466.16213525245945,0.5827026690655743,0.5285388127853882,0.5391552511415525
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,2640.0,2008.636417875193,0.7608471279830277,0.6720319634703197,0.6916666666666667
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1120.0,3.1790283222479387,0.002838418144864231,0.0,0.0
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,800.0,1.2090396854721264,0.001511299606840158,0.0007990867579908676,0.0007990867579908676
AT,CH,960.0,176.56851529277156,0.18392553676330373,0.1643835616438356,0.16757990867579908
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2160.0,426.6857409627004,0.19753969489013906,0.15787671232876713,0.16415525114155252
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,2520.0,1808.7887827577122,0.7177733264911557,0.6877853881278538,0.6938356164383561
IT,CH,1528.0,13.456845486731405,0.008806836051525789,0.005593607305936073,0.005707762557077625
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,720.0,135.68502743117128,0.1884514269877379,0.14189497716894978,0.14931506849315068
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1200.0,145.21937725933412,0.12101614771611177,0.08984018264840182,0.09509132420091324
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,640.0,12.286014408899174,0.019196897513904958,0.013812785388127854,0.015068493150684932
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,4000.0,863.2337657584377,0.21580844143960942,0.12831050228310503,0.1408675799086758
BE,DE,800.0,172.8503790015406,0.21606297375192576,0.17853881278538813,0.18618721461187215
CH,DE,3680.0,2390.2166193152793,0.6495153856834999,0.6229452054794521,0.6278538812785388
CZ,DE,1680.0,599.6059029695178,0.356908275577094,0.12945205479452054,0.16221461187214611
DK,DE,2212.0,1388.7874093757202,0.6278424093018626,0.4575342465753425,0.5044520547945206
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1440.0,1028.1792174473235,0.7140133454495302,0.7071917808219178,0.7084474885844749
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,3400.0,0.0,0.0,0.0,0.0
NO,DE,1120.0,823.3272924342675,0.7351136539591674,0.7329908675799087,0.7333333333333333
PL,DE,2000.0,64.85430461551859,0.03242715230775929,0.027968036529680364,0.028881278538812786
SE,DE,492.0,362.9521309616631,0.7377075832554129,0.736986301369863,0.7371004566210045
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2000.0,345.4004663222209,0.17270023316111044,0.1202054794520548,0.1302511415525114
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,560.0,2.042314690273972,0.0036469905183463785,0.0028538812785388126,0.0028538812785388126
NO,DK,1312.0,952.9042654733604,0.7262989828303051,0.6924657534246575,0.7021689497716895
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1584.0,1131.7597392388034,0.7144947848729819,0.6668949771689497,0.6785388127853881
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2240.0,1536.0121586217797,0.6857197136704374,0.6738584474885845,0.6760273972602739
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1440.0,16.73487974615642,0.01162144426816418,0.0073059360730593605,0.007762557077625571
CH,FR,1040.0,90.93652399584664,0.08743896538062178,0.07328767123287672,0.07488584474885844
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,1840.0,328.0610074887662,0.17829402580911208,0.16598173515981735,0.16883561643835615
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2080.0,415.43597767909,0.19972883542263942,0.18527397260273973,0.1886986301369863
IT,FR,1848.0,59.42615565158136,0.032157010633972596,0.025,0.026255707762557076
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
SE,FR,0.0,0.0,0.0,0.0,0.0
UK,FR,1600.0,0.0,0.0,0.0,0.0
AT,IT,324.0,306.7173215883801,0.9466583999641361,0.9447488584474886,0.9450913242009132
BE,IT,0.0,0.0,0.0,0.0,0.0
CH,IT,3392.0,3140.75927965672,0.9259313914082311,0.9011415525114155,0.9067351598173516
CZ,IT,0.0,0.0,0.0,0.0,0.0
DE,IT,0.0,0.0,0.0,0.0,0.0
DK,IT,0.0,0.0,0.0,0.0,0.0
ES,IT,0.0,0.0,0.0,0.0,0.0
FR,IT,3520.0,3203.2963797696884,0.9100273806163888,0.8920091324200913,0.895662100456621
NL,IT,0.0,0.0,0.0,0.0,0.0
NO,IT,0.0,0.0,0.0,0.0,0.0
PL,IT,0.0,0.0,0.0,0.0,0.0
SE,IT,0.0,0.0,0.0,0.0,0.0
UK,IT,0.0,0.0,0.0,0.0,0.0
AT,NL,0.0,0.0,0.0,0.0,0.0
BE,NL,1920.0,1576.8547740152599,0.8212785281329479,0.7018264840182649,0.7303652968036529
CH,NL,0.0,0.0,0.0,0.0,0.0
CZ,NL,0.0,0.0,0.0,0.0,0.0
DE,NL,3400.0,3387.574428845601,0.9963454202487061,0.9738584474885845,0.9871004566210045
DK,NL,560.0,551.0331822807027,0.9839878255012549,0.9804794520547945,0.9809360730593607
ES,NL,0.0,0.0,0.0,0.0,0.0
FR,NL,0.0,0.0,0.0,0.0,0.0
IT,NL,0.0,0.0,0.0,0.0,0.0
NO,NL,560.0,527.0810729225572,0.9412162016474235,0.9297945205479452,0.9318493150684931
PL,NL,0.0,0.0,0.0,0.0,0.0
SE,NL,0.0,0.0,0.0,0.0,0.0
