zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,563.733038641293,9006.0,-1426.6393327576257,0.06493124149289253,0.15840987483429111
BE,8040.0,3659.949396984862,7440.0,-3796.598361454299,0.45521758668965945,0.510295478690094
CH,10752.0,3309.7530065048354,13608.0,-6996.714084230328,0.3078267305157027,0.5141618227682486
CZ,3840.0,347.8347430483025,4200.0,-1285.711151412734,0.09058196433549545,0.3061217027173176
DE,31236.0,8648.41998818362,26118.0,-8602.69009296395,0.2768734789404411,0.32937782728248527
DK,8184.0,3240.8852497282714,9054.0,-3815.6778022121316,0.39600259649661185,0.42143558672543974
ES,3360.0,2249.1029661229436,3120.0,-639.5685669850086,0.6693758827746856,0.2049899253157079
FR,14772.0,1491.4688033969603,20940.0,-16278.165882424146,0.10096593578370974,0.7773718186448971
IT,10854.0,9787.103351745533,5346.0,-111.98502326002465,0.9017047495619617,0.02094744168724741
NL,10860.0,8502.533729596704,9660.0,-1305.1253889262175,0.7829220745484994,0.13510614792196868
NO,9282.0,1984.7338707167212,8922.0,-3324.368572298751,0.2138261011330232,0.3726035162854462
PL,2040.0,1961.0413261565936,4680.0,-100.78012232010602,0.9612947677238204,0.021534214170962823
SE,8820.0,862.865481797662,8628.0,-3696.1262313399557,0.09783055349179842,0.428387370345382
UK,4800.0,4773.107542645298,4800.0,-2.3818826843166976,0.9943974047177704,0.0004962255592326453
