zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,700.2003683037842,6004.0,-1813.6274223204462,0.12097449348717765,0.30206985714864193
BE,5360.0,2322.345538518187,4960.0,-1229.426903565973,0.43327342136533337,0.24786832733184938
CH,7168.0,2892.7117267105855,9072.0,-3713.446245398343,0.4035591136594009,0.4093304944222159
CZ,2560.0,1344.1409795467746,2800.0,-279.68778717044273,0.5250550701354588,0.09988849541801526
DE,20824.0,1879.1423573890897,17412.0,-11693.020849209286,0.0902392603433101,0.6715495548592515
DK,5456.0,1202.4467447238328,6036.0,-2866.716883696428,0.22038979925290192,0.4749365281140537
ES,2240.0,0.7137200342465749,2080.0,-2003.8876638131974,0.00031862501528864953,0.9634075306794219
FR,9848.0,8628.480633299965,13960.0,-447.83224465861633,0.8761657832351711,0.0320796736861473
IT,7236.0,3121.4611244948856,3564.0,-1716.7251472198218,0.4313793704387625,0.48168494590904093
NL,7240.0,4221.438383767477,6440.0,-1849.2883351473652,0.5830715999678835,0.28715657378064674
NO,6188.0,1682.0138202893543,5948.0,-3021.7832759802686,0.27181865227688334,0.50803350302291
PL,1360.0,266.079476047715,3120.0,-2292.6611506273844,0.1956466735644963,0.7348272918677514
SE,5880.0,5345.685997261078,5752.0,-152.48683757251362,0.9091302716430405,0.02651022906337163
UK,3200.0,1292.535283688671,3200.0,-1818.8054076955598,0.40391727615270967,0.5683766899048625
