zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,690.7281699797476,6004.0,-1877.4041849257085,0.11933796993430332,0.31269223599695345
BE,5360.0,2290.808296776275,4960.0,-1245.1251769756936,0.42738960760751393,0.25103330180961564
CH,7168.0,1647.1047403828513,9072.0,-2480.249673225088,0.2297858175757326,0.27339612800100177
CZ,2560.0,1356.1382778678335,2800.0,-304.3089864390636,0.5297415147921225,0.10868178087109413
DE,20824.0,4031.9133610904523,17412.0,-8065.202861105921,0.19361858245728258,0.463197958942449
DK,5456.0,1035.052124645366,6036.0,-2814.324729927316,0.18970896712708318,0.4662565821615832
ES,2240.0,1.0840945348173507,2080.0,-2011.6380369222582,0.0004839707744720316,0.9671336715972395
FR,9848.0,8690.012521647664,13960.0,-434.4787567239712,0.8824139441153193,0.03112312010916699
IT,7236.0,671.922652400388,3564.0,-1930.8895076225772,0.09285829911558706,0.5417759561230576
NL,7240.0,1769.279656096319,6440.0,-3206.078625889189,0.2443756431072264,0.49783829594552625
NO,6188.0,1386.052720067619,5948.0,-2899.963762420956,0.22399042017899468,0.4875527509113914
PL,1360.0,514.1076830031367,3120.0,-987.8784653703452,0.3780203551493652,0.31662771325972605
SE,5880.0,4965.763439178967,5752.0,-234.82805759114981,0.8445175916971033,0.04082546202905943
UK,3200.0,1276.2186522479844,3200.0,-1833.8155647801852,0.3988183288274951,0.5730673639938079
