zone,mc_el_mean_mean,mc_el_mean_std
FR,154.7654728991381,75.45272182409381
AT,35.744935695189525,9.123020930258155
BE,53.99039160600486,37.81299310046989
CZ,12.656614251771558,19.596523037064387
DE,24.437899639144884,6.118334801301145
DK,34.34032297807301,7.516614237651884
ES,38.87914624948984,10.985061816337023
IT,64.5873416543585,24.236565702971383
PL,52.744600187806654,40.571499253686106
SE,36.46606965025944,5.317859826802887
UK,52.27205370775716,5.35216835475045
CH,16.078260645345797,1.854141464891937
NO,31.54522844070102,18.613660352878284
NL,49.17591078809396,9.789796184408088
