zone,mc_el_maximum_mean,mc_el_maximum_std
FR,805.2793132264042,367.0036123376742
AT,100.6431697717351,30.178070023485454
BE,273.71792749248726,332.38589302315876
CZ,134.59253476022317,326.2469057770609
DE,175.9575221472109,209.715017375769
DK,112.9195440420834,70.92040196874893
ES,83.2155431378132,28.29792134760151
IT,83.27330437074339,16.38147697604572
NO,87.70693917001257,1.2577325723273099e-11
PL,987.3444223178928,106.91552215276268
SE,158.7432658550885,164.2522517544871
UK,174.45775216414432,221.96940000115987
CH,23.95520740668928,0.7006810893175642
NL,86.99760148072545,36.71396743371376
