from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,960.0,1.6596232474092345,0.001728774216051286,0.001141552511415525,0.001141552511415525
CZ,AT,640.0,11.2843837145617,0.017631849554002658,0.01004566210045662,0.012100456621004566
DE,AT,4000.0,85.39483749107194,0.021348709372767984,0.0046803652968036525,0.0061643835616438354
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,188.0,141.53673009504516,0.75285494731407,0.7514840182648402,0.7517123287671232
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,800.0,617.6488277135795,0.7720610346419744,0.725,0.7350456621004566
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,2640.0,76.12712034173168,0.02883603043247412,0.012899543378995433,0.014269406392694063
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1120.0,863.9237076840172,0.7713604532893011,0.7428082191780822,0.7497716894977169
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,800.0,517.1389154340396,0.6464236442925495,0.6214611872146119,0.6278538812785388
AT,CH,960.0,582.1537437953916,0.6064101497868662,0.5594748858447488,0.5698630136986301
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2160.0,480.93364083618417,0.22265446335008526,0.17579908675799086,0.18344748858447488
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,2520.0,6.353757477784893,0.0025213323324543226,0.00022831050228310502,0.00022831050228310502
IT,CH,1528.0,1188.5898072465952,0.7778729105016985,0.7672374429223744,0.7692922374429224
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,720.0,598.2000789411316,0.8308334429737938,0.7934931506849315,0.7995433789954338
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1200.0,791.4229268182769,0.6595191056818974,0.4954337899543379,0.5270547945205479
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,640.0,0.0,0.0,0.0,0.0
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,4000.0,2764.3032876302304,0.6910758219075576,0.6114155251141552,0.6213470319634703
BE,DE,800.0,55.91301896714895,0.06989127370893619,0.048287671232876715,0.05273972602739726
CH,DE,3680.0,1767.022102031123,0.48016904946497907,0.43333333333333335,0.4375570776255708
CZ,DE,1680.0,64.5639647809484,0.03843093141723119,0.015753424657534248,0.01780821917808219
DK,DE,2212.0,238.80281617249292,0.10795787349570204,0.018150684931506848,0.025684931506849314
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1440.0,2.9830304122853133,0.0020715488974203567,0.0013698630136986301,0.0013698630136986301
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,3400.0,2156.1078211543963,0.6341493591630577,0.5172374429223744,0.5449771689497717
NO,DE,1120.0,342.4066473501432,0.30572022084834216,0.29863013698630136,0.29942922374429226
PL,DE,2000.0,0.0,0.0,0.0,0.0
SE,DE,492.0,10.316222898896534,0.020967932721334417,0.019292237442922376,0.01986301369863014
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2000.0,671.1522757619991,0.33557613788099955,0.17157534246575343,0.19703196347031962
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,560.0,359.6510541649274,0.6422340252945132,0.6015981735159818,0.6100456621004566
NO,DK,1312.0,377.8538985209232,0.2879983982628988,0.2504566210045662,0.25787671232876713
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1584.0,14.909265021005561,0.009412414785988359,0.004794520547945206,0.005936073059360731
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
