zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,266.5583429952693,7505.0,-4037.537607382976,0.03684289467799161,0.5379796945213826
BE,6700.0,2500.8826721283767,6200.0,-1640.0274108524911,0.3732660704669219,0.2645205501374986
CH,8960.0,2332.479554485981,11340.0,-3155.715606451766,0.26032137884888185,0.2782817995107377
CZ,3200.0,1624.8050445506065,3500.0,-604.5170842470708,0.5077515764220645,0.1727191669277345
DE,26030.0,7680.474373706109,21765.0,-7843.997677402059,0.295062403907265,0.3603950230830259
DK,6820.0,1742.3873639193416,7545.0,-3040.226166149917,0.25548201816999144,0.4029458139363707
ES,2800.0,0.8996877471803651,2600.0,-2506.83109856304,0.00032131705256441614,0.9641658071396308
FR,12310.0,10567.321978431635,17450.0,-497.9580893013371,0.8584339543811239,0.028536280189188374
IT,9045.0,557.0919368391019,4455.0,-3773.7156045738184,0.061591148351476166,0.8470742097808796
NL,9050.0,1662.091913351514,8050.0,-4900.1420538504935,0.18365656501121702,0.6087132986149681
NO,7735.0,2031.7302117362065,7435.0,-3817.060748721346,0.2626671249820564,0.513390820271869
PL,1700.0,1576.3720469814448,3900.0,-1.4381191780821918,0.9272776746949675,0.000368748507200562
SE,7350.0,5356.378182353518,7190.0,-836.9854961532727,0.7287589363746283,0.11640966566804906
UK,4000.0,1091.9216691702213,4000.0,-2335.242215568834,0.27298041729255534,0.5838105538922085
