zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,1829.7685279154357,6004.0,-920.7178398841017,0.3161313973592667,0.15335073948769182
BE,5360.0,3202.9065001297954,4960.0,-1972.0058562379352,0.5975571828600365,0.3975818258544224
CH,7168.0,2558.281908278934,9072.0,-5390.068922606145,0.3569031680076638,0.594143399758173
CZ,2560.0,222.10158277270696,2800.0,-1000.531084965418,0.08675843077058866,0.3573325303447922
DE,20824.0,5407.370637801379,17412.0,-6272.835281084166,0.2596701228294938,0.3602593200714545
DK,5456.0,1687.3780982478743,6036.0,-1400.9064535960756,0.3092701792976309,0.23209185778596347
ES,2240.0,2145.347266095179,2080.0,-1.694824843076427,0.957744315221062,0.0008148196360944361
FR,9848.0,178.60750214777516,13960.0,-13358.702010140429,0.018136423857410152,0.9569270780902885
IT,7236.0,7228.282551457865,3564.0,-0.6323703284018258,0.9989334648228116,0.00017743275207683103
NL,7240.0,5563.261530878788,6440.0,-821.3132745697575,0.7684062887954127,0.127533117169217
NO,6188.0,1093.0574615718645,5948.0,-1733.491170664604,0.17664147730637758,0.2914410172603571
PL,1360.0,1117.6145940104798,3120.0,-615.7684116045264,0.8217754367724116,0.19736167038606614
SE,5880.0,387.54773483008375,5752.0,-2296.1556444862567,0.06590947871259928,0.399192566843925
UK,3200.0,3170.4557951439187,3200.0,-7.158546271186952,0.9907674359824746,0.0022370457097459226
