from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1440.0,318.61162173913334,0.22125807065217593,0.18584474885844748,0.19509132420091324
CZ,AT,960.0,447.41827322817466,0.4660607012793486,0.28926940639269405,0.3317351598173516
DE,AT,6000.0,1044.6597622283514,0.1741099603713919,0.0005707762557077625,0.002397260273972603
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,282.0,0.08945410620547925,0.00031721314257262146,0.00022831050228310502,0.00022831050228310502
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1200.0,459.38662109998074,0.38282218424998393,0.2941780821917808,0.3089041095890411
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3960.0,3488.328505640864,0.880891036777996,0.7469178082191781,0.7787671232876713
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1680.0,34.364025202347236,0.02045477690615907,0.0069634703196347035,0.008561643835616438
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1200.0,0.33388842731352775,0.00027824035609460646,0.00011415525114155251,0.00011415525114155251
AT,CH,1440.0,58.44791666910392,0.040588831020211054,0.02728310502283105,0.02899543378995434
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,3240.0,833.140515465865,0.25714213440304473,0.10605022831050229,0.11689497716894977
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3780.0,2771.979355518555,0.7333278718303056,0.6595890410958904,0.6711187214611872
IT,CH,2292.0,0.0,0.0,0.0,0.0
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,1080.0,1.9320501177667788,0.001788935294228499,0.0,0.00022831050228310502
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1800.0,35.207227676673554,0.019559570931485307,0.0006849315068493151,0.0014840182648401827
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,960.0,299.8357482182033,0.31232890439396177,0.2819634703196347,0.2867579908675799
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,6000.0,368.3873162592474,0.0613978860432079,0.0015981735159817352,0.005136986301369863
BE,DE,1200.0,60.95291240276058,0.05079409366896715,0.021689497716894976,0.024200913242009132
CH,DE,5520.0,986.2480983038148,0.1786681337506911,0.10125570776255707,0.1187214611872146
CZ,DE,2520.0,284.39766929062546,0.11285621797247042,0.0043378995433789955,0.006392694063926941
DK,DE,3318.0,918.7351832445097,0.2768942686089541,0.052853881278538815,0.091324200913242
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,2160.0,1469.5156925524004,0.6803313391446298,0.6528538812785388,0.6568493150684932
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,5100.0,0.0,0.0,0.0,0.0
NO,DE,1680.0,768.8404314867554,0.45764311398021157,0.442351598173516,0.4448630136986301
PL,DE,3000.0,1045.7843375902833,0.3485947791967611,0.33264840182648403,0.3356164383561644
SE,DE,738.0,433.97205459736364,0.5880380143595714,0.5777397260273973,0.5800228310502283
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,3000.0,796.3986179294209,0.26546620597647363,0.22340182648401827,0.23493150684931507
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,840.0,49.94988921846956,0.05946415383151138,0.03276255707762557,0.03641552511415525
NO,DK,1968.0,828.6860762532345,0.4210803232994078,0.40079908675799086,0.40365296803652967
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,2376.0,1115.6817266005287,0.46956301624601376,0.3324200913242009,0.35856164383561645
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,3360.0,2871.9120187660824,0.8547357198708578,0.7996575342465754,0.8124429223744293
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,2160.0,3.283341988644977,0.0015200657354837858,0.0,0.00045662100456621003
CH,FR,1560.0,135.1664159242128,0.08664513841295693,0.06883561643835616,0.07111872146118721
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,2760.0,214.54114460109827,0.07773229876851387,0.06301369863013699,0.06632420091324201
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,3120.0,70.17450208050886,0.022491827589906685,0.010616438356164383,0.011872146118721462
IT,FR,2772.0,1.5294439301565603,0.0005517474495514286,0.00034246575342465754,0.00034246575342465754
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
SE,FR,0.0,0.0,0.0,0.0,0.0
UK,FR,2400.0,0.2611559646118723,0.00010881498525494679,0.0,0.0
AT,IT,486.0,481.24405647383975,0.9902141079708637,0.9876712328767123,0.9877853881278539
BE,IT,0.0,0.0,0.0,0.0,0.0
CH,IT,5088.0,5061.450930505931,0.9947820225050965,0.979337899543379,0.9841324200913242
CZ,IT,0.0,0.0,0.0,0.0,0.0
DE,IT,0.0,0.0,0.0,0.0,0.0
DK,IT,0.0,0.0,0.0,0.0,0.0
ES,IT,0.0,0.0,0.0,0.0,0.0
FR,IT,5280.0,5258.2006763154495,0.9958713402112593,0.9930365296803653,0.993607305936073
NL,IT,0.0,0.0,0.0,0.0,0.0
NO,IT,0.0,0.0,0.0,0.0,0.0
PL,IT,0.0,0.0,0.0,0.0,0.0
SE,IT,0.0,0.0,0.0,0.0,0.0
UK,IT,0.0,0.0,0.0,0.0,0.0
AT,NL,0.0,0.0,0.0,0.0,0.0
BE,NL,2880.0,1395.768466843295,0.48464182876503303,0.21860730593607305,0.2723744292237443
CH,NL,0.0,0.0,0.0,0.0,0.0
CZ,NL,0.0,0.0,0.0,0.0,0.0
DE,NL,5100.0,4014.577850480647,0.7871721275452249,0.4886986301369863,0.5655251141552512
DK,NL,840.0,645.2312582831838,0.7681324503371236,0.7202054794520548,0.7284246575342466
ES,NL,0.0,0.0,0.0,0.0,0.0
FR,NL,0.0,0.0,0.0,0.0,0.0
IT,NL,0.0,0.0,0.0,0.0,0.0
NO,NL,840.0,628.5885655979697,0.7483197209499639,0.7287671232876712,0.7334474885844748
PL,NL,0.0,0.0,0.0,0.0,0.0
SE,NL,0.0,0.0,0.0,0.0,0.0
UK,NL,1200.0,8.559126662570046,0.007132605552141705,0.0036529680365296802,0.00410958904109589
AT,NO,0.0,0.0,0.0,0.0,0.0
BE,NO,0.0,0.0,0.0,0.0,0.0
CH,NO,0.0,0.0,0.0,0.0,0.0
CZ,NO,0.0,0.0,0.0,0.0,0.0
DE,NO,1680.0,503.880352955652,0.29992878152122143,0.28812785388127854,0.2905251141552511
DK,NO,1968.0,456.50003565249006,0.23196140022992381,0.2091324200913242,0.21324200913242009
ES,NO,0.0,0.0,0.0,0.0,0.0
FR,NO,0.0,0.0,0.0,0.0,0.0
IT,NO,0.0,0.0,0.0,0.0,0.0
NL,NO,840.0,141.91496023411958,0.16894638123109473,0.15079908675799086,0.15422374429223745
PL,NO,0.0,0.0,0.0,0.0,0.0
SE,NO,4794.0,884.0347610004112,0.1844044140593265,0.1421232876712329,0.1454337899543379
