from,to,constrained_maximum_mean
AT,CH,0.21095890410958903
AT,CZ,0.28858447488584477
AT,DE,0.0030821917808219177
AT,IT,0.9898401826484018
BE,DE,0.3102739726027397
BE,FR,0.7551369863013698
BE,NL,0.22899543378995435
BE,UK,0.9866438356164383
CH,DE,0.20365296803652969
CH,FR,0.7321917808219178
CH,IT,0.98162100456621
CZ,DE,0.0045662100456621
CZ,PL,0.795662100456621
DE,DK,0.2734018264840183
DE,FR,0.7171232876712329
DE,NL,0.49474885844748856
DE,NO,0.7223744292237443
DE,PL,0.873972602739726
DE,SE,0.8565068493150685
DK,NL,0.7536529680365297
DK,NO,0.6051369863013699
DK,SE,0.3835616438356164
ES,FR,0.8200913242009132
FR,IT,0.9946347031963471
FR,UK,0.9980593607305936
NL,NO,0.8744292237442922
NL,UK,0.9647260273972603
NO,SE,0.1963470319634703
PL,SE,0.8289954337899543
