from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,0.0014343207762556331,1.195267313546361e-6,0.0,0.0
CZ,AT,800,4.436893899814782,0.005546117374768478,0.005136986301369863,0.005365296803652968
DE,AT,5000,5.116856737174016,0.0010233713474348033,0.0,0.0
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,0.0,0.0,0.0,0.0
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,4.1275463385612445,0.004127546338561244,0.0038812785388127853,0.0038812785388127853
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,5.620380765191654,0.0017031456864217134,0.00045662100456621003,0.0005707762557077625
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,0.6682697034836755,0.0004773355024883397,0.00011415525114155251,0.00011415525114155251
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,0.0,0.0,0.0,0.0
AT,CH,1200,2.1283683399822646,0.0017736402833185539,0.0013698630136986301,0.0013698630136986301
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,13.610877337328766,0.005041065680492136,0.004908675799086758,0.004908675799086758
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,4.178454006957762,0.0013264933355421466,0.0006849315068493151,0.0006849315068493151
IT,CH,1910,0.0,0.0,0.0,0.0
NL,CH,0,0.0,0.0,0.0,0.0
NO,CH,0,0.0,0.0,0.0,0.0
PL,CH,0,0.0,0.0,0.0,0.0
SE,CH,0,0.0,0.0,0.0,0.0
UK,CH,0,0.0,0.0,0.0,0.0
AT,CZ,900,0.0,0.0,0.0,0.0
BE,CZ,0,0.0,0.0,0.0,0.0
CH,CZ,0,0.0,0.0,0.0,0.0
DE,CZ,1500,0.0,0.0,0.0,0.0
DK,CZ,0,0.0,0.0,0.0,0.0
ES,CZ,0,0.0,0.0,0.0,0.0
FR,CZ,0,0.0,0.0,0.0,0.0
IT,CZ,0,0.0,0.0,0.0,0.0
NL,CZ,0,0.0,0.0,0.0,0.0
