zone,mc_el_maximum_mean,mc_el_maximum_std
FR,64.36591555620002,17.228056238656606
AT,57.55456172900001,25.199572524861686
BE,18.25,0.0
CH,24.0,0.0
CZ,18.35275901,0.0
DE,67.99647810080002,9.295770708025355
DK,70.09441256359992,14.085387008560593
ES,74.73586624920003,20.14214877266462
IT,86.92573731999994,5.750059004400023e-14
PL,69.31042126000007,7.177565525411543e-14
SE,69.73042126000006,5.742052420329235e-14
UK,66.89784863319997,26.056533958340044
NO,7.990466669380007,1.2120381564743916
NL,68.79708792000007,7.177565525411543e-14
