zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,1847.4035145822868,7505.0,-950.2213541117775,0.2553425728517328,0.12661177269977048
BE,6700.0,3693.6655982572547,6200.0,-2383.006278267699,0.5512933728742171,0.38435585133349986
CH,8960.0,3106.3154311805206,11340.0,-5946.994083398912,0.3466869900871117,0.5244262860140134
CZ,3200.0,245.4650393633543,3500.0,-1034.3015420450156,0.07670782480104822,0.2955147262985759
DE,26030.0,5973.246296151968,21765.0,-7812.267651010848,0.2294754627795608,0.3589371767062186
DK,6820.0,2498.2902921009377,7545.0,-2208.1197188527512,0.3663182246482313,0.29266000249870794
ES,2800.0,2523.385906668033,2600.0,-23.156303170192984,0.9012092523814403,0.008906270450074225
FR,12310.0,294.1298750042744,17450.0,-15946.698597027249,0.02389357229929118,0.913850922465745
IT,9045.0,9030.11039864763,4455.0,-0.5458153419382367,0.9983538306962554,0.00012251747293787578
NL,9050.0,6383.6615389005165,8050.0,-1094.1605962530953,0.7053769656243665,0.13592057096311744
NO,7735.0,1726.7020127721903,7435.0,-2367.1357218649705,0.2232323222717764,0.3183773667605878
PL,1700.0,1269.9963470144482,3900.0,-879.5705232680267,0.7470566747143813,0.22553090340205814
SE,7350.0,887.9154066061305,7190.0,-2813.6055506608086,0.12080481722532388,0.39132205155226824
UK,4000.0,3981.2955270113857,4000.0,-1.7994489876454718,0.9953238817528465,0.00044986224691136796
