zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,4234.2768031573905,7505,-3300.00076883037,0.5852490398282503,0.43970696453435976
BE,6700,4102.850802049063,6200,-3092.32887365665,0.6123657913506063,0.4987627215575242
CH,8960,4114.093735072519,11340,-6946.394957269864,0.45916224721791504,0.6125568745387887
CZ,3200,1167.111177055601,3500,-1907.9574296259848,0.3647222428298753,0.5451306941788528
DE,26030,10359.893709944427,21765,-12135.763468586138,0.39799822166517196,0.557581597453992
DK,6820,3595.3642109976035,7545,-3438.4107541323046,0.5271795030788275,0.4557204445503386
ES,2800,2700.913122966615,2600,-86.8860620412558,0.964611829630934,0.03341771616971377
FR,12310,706.1372646747121,17450,-16267.673068425087,0.05736289721159318,0.9322448749813803
IT,9045,9031.73207119468,4455,-6.082137026692553,0.9985331200878584,0.0013652383898299784
NL,9050,7044.090683748598,8050,-1604.8361402059047,0.7783525617401766,0.19935852673365276
NO,7735,3454.2711898936595,7435,-4094.7048989864084,0.4465767537031234,0.5507336784110839
PL,1700,1348.6646926577691,3900,-1022.3973367208547,0.7933321721516289,0.26215316326175764
SE,7350,2587.7073688540413,7190,-4504.732795485167,0.35206902977606,0.6265275098032221
UK,4000,3981.707837376177,4000,-20.645978650172996,0.9954269593440442,0.0051614946625432485
