from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,659.8132248100358,0.5498443540083632,0.4968036529680365,0.507648401826484
CZ,AT,800,388.5589997044177,0.4856987496305221,0.45536529680365295,0.4623287671232877
DE,AT,5000,3185.5941189739783,0.6371188237947957,0.4023972602739726,0.45182648401826486
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,0.3104596689520546,0.0013211049742640622,0.0012557077625570776,0.0012557077625570776
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,725.1572252067725,0.7251572252067725,0.6316210045662101,0.6530821917808219
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,3146.840856042386,0.9535881381946624,0.9208904109589041,0.9278538812785389
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,225.15243538169557,0.16082316812978256,0.07796803652968036,0.09360730593607305
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,5.700285418210679,0.005700285418210679,0.0029680365296803654,0.0030821917808219177
AT,CH,1200,524.9483036399411,0.4374569196999509,0.40616438356164386,0.41335616438356165
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,1045.4486229090933,0.38720319367003453,0.2873287671232877,0.3087899543378995
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,2541.741663866623,0.8069021155132137,0.7659817351598174,0.7703196347031963
IT,CH,1910,1.9551446568584452,0.001023635945999186,0.0,0.00034246575342465754
NL,CH,0,0.0,0.0,0.0,0.0
NO,CH,0,0.0,0.0,0.0,0.0
PL,CH,0,0.0,0.0,0.0,0.0
SE,CH,0,0.0,0.0,0.0,0.0
UK,CH,0,0.0,0.0,0.0,0.0
AT,CZ,900,425.42307425901157,0.47269230473223506,0.3934931506849315,0.41118721461187213
BE,CZ,0,0.0,0.0,0.0,0.0
CH,CZ,0,0.0,0.0,0.0,0.0
DE,CZ,1500,506.5079634708985,0.3376719756472657,0.17134703196347031,0.19988584474885845
DK,CZ,0,0.0,0.0,0.0,0.0
ES,CZ,0,0.0,0.0,0.0,0.0
FR,CZ,0,0.0,0.0,0.0,0.0
IT,CZ,0,0.0,0.0,0.0,0.0
NL,CZ,0,0.0,0.0,0.0,0.0
NO,CZ,0,0.0,0.0,0.0,0.0
PL,CZ,800,235.18013932569187,0.2939751741571148,0.2841324200913242,0.2856164383561644
SE,CZ,0,0.0,0.0,0.0,0.0
UK,CZ,0,0.0,0.0,0.0,0.0
AT,DE,5000,1945.2646712760138,0.38905293425520276,0.1658675799086758,0.19840182648401827
BE,DE,1000,268.8399983250504,0.2688399983250504,0.17888127853881278,0.19680365296803654
CH,DE,4600,1858.9351027724183,0.40411632668965614,0.2771689497716895,0.28949771689497716
CZ,DE,2100,1100.8432364885525,0.5242110649945488,0.3245433789954338,0.34828767123287674
DK,DE,2765,1534.8364387778443,0.5550945529033795,0.41164383561643836,0.4480593607305936
ES,DE,0,0.0,0.0,0.0,0.0
FR,DE,1800,1487.4498206335556,0.8263610114630865,0.8070776255707762,0.8107305936073059
IT,DE,0,0.0,0.0,0.0,0.0
NL,DE,4250,174.58931113014447,0.04107983791297517,0.006621004566210046,0.01004566210045662
NO,DE,1400,847.0912886220938,0.6050652061586385,0.5926940639269407,0.5953196347031964
PL,DE,2500,778.5952723042982,0.3114381089217193,0.30034246575342466,0.30125570776255706
SE,DE,615,363.44856961444856,0.5909732839259326,0.585730593607306,0.5871004566210045
UK,DE,0,0.0,0.0,0.0,0.0
AT,DK,0,0.0,0.0,0.0,0.0
BE,DK,0,0.0,0.0,0.0,0.0
CH,DK,0,0.0,0.0,0.0,0.0
CZ,DK,0,0.0,0.0,0.0,0.0
DE,DK,2500,1100.2440719658389,0.44009762878633557,0.35605022831050226,0.3678082191780822
ES,DK,0,0.0,0.0,0.0,0.0
FR,DK,0,0.0,0.0,0.0,0.0
IT,DK,0,0.0,0.0,0.0,0.0
NL,DK,700,114.70575818059596,0.16386536882942282,0.10011415525114155,0.11084474885844749
NO,DK,1640,1053.5628491321074,0.6424163714220167,0.5678082191780822,0.5878995433789954
PL,DK,0,0.0,0.0,0.0,0.0
SE,DK,1980,1326.85153171906,0.6701270362217474,0.5980593607305936,0.6178082191780822
UK,DK,0,0.0,0.0,0.0,0.0
AT,ES,0,0.0,0.0,0.0,0.0
BE,ES,0,0.0,0.0,0.0,0.0
CH,ES,0,0.0,0.0,0.0,0.0
CZ,ES,0,0.0,0.0,0.0,0.0
DE,ES,0,0.0,0.0,0.0,0.0
DK,ES,0,0.0,0.0,0.0,0.0
FR,ES,2800,2700.9131229666173,0.9646118296309347,0.9474885844748858,0.9506849315068493
IT,ES,0,0.0,0.0,0.0,0.0
NL,ES,0,0.0,0.0,0.0,0.0
NO,ES,0,0.0,0.0,0.0,0.0
PL,ES,0,0.0,0.0,0.0,0.0
SE,ES,0,0.0,0.0,0.0,0.0
UK,ES,0,0.0,0.0,0.0,0.0
AT,FR,0,0.0,0.0,0.0,0.0
BE,FR,1800,59.865137949240605,0.03325840997180034,0.010844748858447488,0.01358447488584475
CH,FR,1300,191.45866031567223,0.1472758925505171,0.1288812785388128,0.1343607305936073
CZ,FR,0,0.0,0.0,0.0,0.0
DE,FR,2300,362.46216216087316,0.15759224441777095,0.13675799086757992,0.1386986301369863
DK,FR,0,0.0,0.0,0.0,0.0
ES,FR,2600,86.88606204125574,0.03341771616971374,0.02009132420091324,0.021689497716894976
IT,FR,2310,3.816532700882053,0.001652178658390499,0.0009132420091324201,0.0010273972602739725
NL,FR,0,0.0,0.0,0.0,0.0
NO,FR,0,0.0,0.0,0.0,0.0
PL,FR,0,0.0,0.0,0.0,0.0
SE,FR,0,0.0,0.0,0.0,0.0
UK,FR,2000,1.6487095067880726,0.0008243547533940363,0.00045662100456621003,0.0005707762557077625
AT,IT,405,404.3647196553905,0.9984314065565197,0.9982876712328768,0.9982876712328768
BE,IT,0,0.0,0.0,0.0,0.0
CH,IT,4240,4236.187969371742,0.9991009361725807,0.997716894977169,0.9981735159817352
CZ,IT,0,0.0,0.0,0.0,0.0
DE,IT,0,0.0,0.0,0.0,0.0
DK,IT,0,0.0,0.0,0.0,0.0
ES,IT,0,0.0,0.0,0.0,0.0
FR,IT,4400,4391.179382167547,0.997995314128988,0.9965753424657534,0.9968036529680365
NL,IT,0,0.0,0.0,0.0,0.0
NO,IT,0,0.0,0.0,0.0,0.0
PL,IT,0,0.0,0.0,0.0,0.0
SE,IT,0,0.0,0.0,0.0,0.0
UK,IT,0,0.0,0.0,0.0,0.0
AT,NL,0,0.0,0.0,0.0,0.0
BE,NL,2400,1770.2724730649495,0.737613530443729,0.5763698630136986,0.6057077625570776
CH,NL,0,0.0,0.0,0.0,0.0
CZ,NL,0,0.0,0.0,0.0,0.0
DE,NL,4250,4071.9808153901545,0.9581131330329775,0.8937214611872146,0.9157534246575343
DK,NL,700,591.4540450968934,0.8449343501384192,0.8117579908675799,0.8184931506849316
ES,NL,0,0.0,0.0,0.0,0.0
FR,NL,0,0.0,0.0,0.0,0.0
IT,NL,0,0.0,0.0,0.0,0.0
NO,NL,700,597.086366471429,0.8529805235306128,0.8364155251141553,0.8420091324200913
PL,NL,0,0.0,0.0,0.0,0.0
SE,NL,0,0.0,0.0,0.0,0.0
UK,NL,1000,13.29698372517426,0.01329698372517426,0.00684931506849315,0.008789954337899543
AT,NO,0,0.0,0.0,0.0,0.0
BE,NO,0,0.0,0.0,0.0,0.0
CH,NO,0,0.0,0.0,0.0,0.0
CZ,NO,0,0.0,0.0,0.0,0.0
DE,NO,1400,550.3923095025651,0.39313736393040366,0.38493150684931504,0.3860730593607306
DK,NO,1640,579.694707550862,0.3534723826529646,0.3178082191780822,0.3230593607305936
ES,NO,0,0.0,0.0,0.0,0.0
FR,NO,0,0.0,0.0,0.0,0.0
IT,NO,0,0.0,0.0,0.0,0.0
NL,NO,700,101.58028520306102,0.14511469314723002,0.12271689497716895,0.1267123287671233
PL,NO,0,0.0,0.0,0.0,0.0
SE,NO,3995,2222.6038876371704,0.5563464049154369,0.4958904109589041,0.5061643835616438
UK,NO,0,0.0,0.0,0.0,0.0
AT,PL,0,0.0,0.0,0.0,0.0
BE,PL,0,0.0,0.0,0.0,0.0
CH,PL,0,0.0,0.0,0.0,0.0
CZ,PL,600,418.555193433018,0.6975919890550301,0.689041095890411,0.6909817351598173
DE,PL,500,338.2806927102651,0.6765613854205302,0.6737442922374429,0.6744292237442923
DK,PL,0,0.0,0.0,0.0,0.0
ES,PL,0,0.0,0.0,0.0,0.0
FR,PL,0,0.0,0.0,0.0,0.0
IT,PL,0,0.0,0.0,0.0,0.0
NL,PL,0,0.0,0.0,0.0,0.0
NO,PL,0,0.0,0.0,0.0,0.0
SE,PL,600,591.8288065144865,0.9863813441908108,0.979337899543379,0.9807077625570776
UK,PL,0,0.0,0.0,0.0,0.0
AT,SE,0,0.0,0.0,0.0,0.0
BE,SE,0,0.0,0.0,0.0,0.0
CH,SE,0,0.0,0.0,0.0,0.0
CZ,SE,0,0.0,0.0,0.0,0.0
DE,SE,615,249.69548629569633,0.4060089208060103,0.3980593607305936,0.3993150684931507
DK,SE,2440,732.4255627067041,0.30017441094537056,0.2312785388127854,0.2406392694063927
ES,SE,0,0.0,0.0,0.0,0.0
FR,SE,0,0.0,0.0,0.0,0.0
IT,SE,0,0.0,0.0,0.0,0.0
NL,SE,0,0.0,0.0,0.0,0.0
NO,SE,3695,1596.9643947607788,0.4321960472965572,0.3855022831050228,0.3937214611872146
PL,SE,600,8.62192509086478,0.0143698751514413,0.0091324200913242,0.00993150684931507
UK,SE,0,0.0,0.0,0.0,0.0
AT,UK,0,0.0,0.0,0.0,0.0
BE,UK,1000,993.3512643174107,0.9933512643174107,0.9900684931506849,0.9907534246575342
CH,UK,0,0.0,0.0,0.0,0.0
CZ,UK,0,0.0,0.0,0.0,0.0
DE,UK,0,0.0,0.0,0.0,0.0
DK,UK,0,0.0,0.0,0.0,0.0
ES,UK,0,0.0,0.0,0.0,0.0
FR,UK,2000,1999.5482227483585,0.9997741113741793,0.9993150684931507,0.9995433789954338
IT,UK,0,0.0,0.0,0.0,0.0
NL,UK,1000,988.808350310407,0.988808350310407,0.983675799086758,0.9845890410958904
NO,UK,0,0.0,0.0,0.0,0.0
PL,UK,0,0.0,0.0,0.0,0.0
SE,UK,0,0.0,0.0,0.0,0.0
