zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,3216.4283506955862,7505,-4010.6233189592667,0.44456507957091723,0.5343935135188896
BE,6700,3119.57521237917,6200,-2186.9467190571336,0.46560824065360745,0.35273334178340865
CH,8960,4160.196632126114,11340,-4839.639717375307,0.4643076598355038,0.426775989186535
CZ,3200,2139.0541382802926,3500,-1015.8892813553051,0.6684544182125914,0.29025408038723005
DE,26030,5057.5895117031405,21765,-17911.002403509203,0.19429848296977106,0.8229268276365359
DK,6820,2780.961708075951,7545,-4461.386932201961,0.4077656463454473,0.5913037683501605
ES,2800,10.587130636998904,2600,-2585.774282515377,0.0037811180846424658,0.9945285701982218
FR,12310,11567.217399108564,17450,-852.4135483076712,0.9396602273849362,0.048848913943133024
IT,9045,4090.9813414392133,4455,-2431.1315119944165,0.4522920222707809,0.5457085324342125
NL,9050,5409.572541379192,8050,-2697.0017628885,0.5977428222518445,0.33503127489298135
NO,7735,3056.2151532822622,7435,-4394.119753214052,0.3951150812258904,0.591004674272233
PL,1700,330.2367582513148,3900,-2910.8405059152296,0.19425691661842048,0.7463693604910845
SE,7350,6645.659880371577,7190,-729.7804295888519,0.9041714122954526,0.10149936433780972
UK,4000,1723.9443053988082,4000,-2281.6698962459145,0.43098607634970204,0.5704174740614786
