from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,18.978582312022883,0.01581548526001907,0.014269406392694063,0.014611872146118721
CZ,AT,800,274.89170441217215,0.3436146305152152,0.26986301369863014,0.28207762557077626
DE,AT,5000,2918.8560682698244,0.5837712136539649,0.38618721461187216,0.42557077625570777
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,3.7019957015581033,0.01575317319811959,0.015068493150684932,0.015182648401826484
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,998.4882000376768,0.9984882000376768,0.9980593607305936,0.9980593607305936
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,226.5162116696569,0.06864127626353239,0.05182648401826484,0.052853881278538815
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,1251.022330383163,0.8935873788451165,0.8705479452054794,0.8745433789954338
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,643.5484702886725,0.6435484702886726,0.5973744292237443,0.6079908675799087
AT,CH,1200,1181.672068651564,0.9847267238763032,0.9837899543378995,0.9839041095890411
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,2661.1688640612806,0.9856180978004743,0.982648401826484,0.9834474885844748
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,74.64492594447381,0.023696801887134543,0.018493150684931507,0.018835616438356163
IT,CH,1910,242.71077346879585,0.1270737033868041,0.08139269406392693,0.08904109589041095
NL,CH,0,0.0,0.0,0.0,0.0
NO,CH,0,0.0,0.0,0.0,0.0
PL,CH,0,0.0,0.0,0.0,0.0
SE,CH,0,0.0,0.0,0.0,0.0
UK,CH,0,0.0,0.0,0.0,0.0
AT,CZ,900,570.2291552650828,0.6335879502945364,0.5703196347031964,0.5779680365296803
BE,CZ,0,0.0,0.0,0.0,0.0
CH,CZ,0,0.0,0.0,0.0,0.0
DE,CZ,1500,1007.5608236154816,0.6717072157436544,0.5574200913242009,0.58162100456621
DK,CZ,0,0.0,0.0,0.0,0.0
ES,CZ,0,0.0,0.0,0.0,0.0
FR,CZ,0,0.0,0.0,0.0,0.0
IT,CZ,0,0.0,0.0,0.0,0.0
NL,CZ,0,0.0,0.0,0.0,0.0
NO,CZ,0,0.0,0.0,0.0,0.0
PL,CZ,800,561.2641593997263,0.7015801992496579,0.6982876712328767,0.6987442922374429
SE,CZ,0,0.0,0.0,0.0,0.0
UK,CZ,0,0.0,0.0,0.0,0.0
AT,DE,5000,1867.2144179402817,0.37344288358805633,0.1997716894977169,0.2219178082191781
BE,DE,1000,1.729536352508379,0.0017295363525083789,0.0015981735159817352,0.0015981735159817352
CH,DE,4600,30.427099400457944,0.006614586826186509,0.0045662100456621,0.004794520547945206
CZ,DE,2100,563.2865018322843,0.26823166753918304,0.1295662100456621,0.1334474885844749
DK,DE,2765,354.9454173192568,0.12837085617332977,0.047031963470319633,0.048515981735159815
ES,DE,0,0.0,0.0,0.0,0.0
FR,DE,1800,10.575997649811878,0.005875554249895488,0.005365296803652968,0.005479452054794521
IT,DE,0,0.0,0.0,0.0,0.0
NL,DE,4250,106.06342251383757,0.024956099415020604,0.007534246575342466,0.008675799086757991
NO,DE,1400,313.13005454774463,0.22366432467696046,0.21472602739726027,0.21621004566210045
PL,DE,2500,1758.0036284469954,0.7032014513787982,0.6957762557077626,0.6966894977168949
SE,DE,615,52.21343569994225,0.08489989544706057,0.08276255707762557,0.08333333333333333
UK,DE,0,0.0,0.0,0.0,0.0
AT,DK,0,0.0,0.0,0.0,0.0
BE,DK,0,0.0,0.0,0.0,0.0
CH,DK,0,0.0,0.0,0.0,0.0
CZ,DK,0,0.0,0.0,0.0,0.0
DE,DK,2500,2102.2145334094344,0.8408858133637738,0.7125570776255707,0.7430365296803653
ES,DK,0,0.0,0.0,0.0,0.0
FR,DK,0,0.0,0.0,0.0,0.0
IT,DK,0,0.0,0.0,0.0,0.0
NL,DK,700,95.46172111324091,0.13637388730462988,0.08789954337899543,0.09646118721461187
NO,DK,1640,518.6634959510059,0.31625822923841823,0.2617579908675799,0.27214611872146116
PL,DK,0,0.0,0.0,0.0,0.0
SE,DK,1980,64.62195760227011,0.032637352324378845,0.009817351598173516,0.013356164383561644
UK,DK,0,0.0,0.0,0.0,0.0
AT,ES,0,0.0,0.0,0.0,0.0
BE,ES,0,0.0,0.0,0.0,0.0
CH,ES,0,0.0,0.0,0.0,0.0
CZ,ES,0,0.0,0.0,0.0,0.0
DE,ES,0,0.0,0.0,0.0,0.0
DK,ES,0,0.0,0.0,0.0,0.0
FR,ES,2800,10.587130636998904,0.0037811180846424658,0.0036529680365296802,0.0036529680365296802
IT,ES,0,0.0,0.0,0.0,0.0
NL,ES,0,0.0,0.0,0.0,0.0
NO,ES,0,0.0,0.0,0.0,0.0
PL,ES,0,0.0,0.0,0.0,0.0
SE,ES,0,0.0,0.0,0.0,0.0
UK,ES,0,0.0,0.0,0.0,0.0
AT,FR,0,0.0,0.0,0.0,0.0
BE,FR,1800,1615.234834370598,0.8973526857614433,0.8787671232876713,0.8849315068493151
CH,FR,1300,1258.356866621705,0.9679668204782346,0.9633561643835616,0.9644977168949772
CZ,FR,0,0.0,0.0,0.0,0.0
DE,FR,2300,2285.146011187343,0.9935417439944969,0.9928082191780822,0.9929223744292237
DK,FR,0,0.0,0.0,0.0,0.0
ES,FR,2600,2585.774282515377,0.9945285701982218,0.9940639269406393,0.9941780821917808
IT,FR,2310,2184.718742824062,0.9457656895342259,0.9375570776255707,0.9389269406392694
NL,FR,0,0.0,0.0,0.0,0.0
NO,FR,0,0.0,0.0,0.0,0.0
PL,FR,0,0.0,0.0,0.0,0.0
SE,FR,0,0.0,0.0,0.0,0.0
UK,FR,2000,1637.9866615894787,0.8189933307947393,0.811986301369863,0.8135844748858447
AT,IT,405,391.5076771023203,0.966685622474865,0.966324200913242,0.966324200913242
BE,IT,0,0.0,0.0,0.0,0.0
CH,IT,4240,3531.8771690411236,0.8329898983587556,0.7627853881278539,0.7861872146118721
CZ,IT,0,0.0,0.0,0.0,0.0
DE,IT,0,0.0,0.0,0.0,0.0
DK,IT,0,0.0,0.0,0.0,0.0
ES,IT,0,0.0,0.0,0.0,0.0
FR,IT,4400,167.5964952957721,0.038090112567220925,0.02682648401826484,0.02819634703196347
NL,IT,0,0.0,0.0,0.0,0.0
NO,IT,0,0.0,0.0,0.0,0.0
PL,IT,0,0.0,0.0,0.0,0.0
SE,IT,0,0.0,0.0,0.0,0.0
UK,IT,0,0.0,0.0,0.0,0.0
AT,NL,0,0.0,0.0,0.0,0.0
BE,NL,2400,208.43189642840107,0.08684662351183378,0.06518264840182648,0.06803652968036529
CH,NL,0,0.0,0.0,0.0,0.0
CZ,NL,0,0.0,0.0,0.0,0.0
DE,NL,4250,4146.139621809088,0.9755622639550795,0.9246575342465754,0.9466894977168949
DK,NL,700,605.1859428609735,0.8645513469442478,0.8234018264840183,0.832648401826484
ES,NL,0,0.0,0.0,0.0,0.0
FR,NL,0,0.0,0.0,0.0,0.0
IT,NL,0,0.0,0.0,0.0,0.0
NO,NL,700,449.6803159129702,0.6424004513042431,0.6004566210045662,0.6100456621004566
PL,NL,0,0.0,0.0,0.0,0.0
SE,NL,0,0.0,0.0,0.0,0.0
UK,NL,1000,0.13476436776255743,0.00013476436776255744,0.0,0.0
AT,NO,0,0.0,0.0,0.0,0.0
BE,NO,0,0.0,0.0,0.0,0.0
CH,NO,0,0.0,0.0,0.0,0.0
CZ,NO,0,0.0,0.0,0.0,0.0
DE,NO,1400,1084.5473594473647,0.7746766853195461,0.7684931506849315,0.7700913242009132
DK,NO,1640,1122.546003428774,0.6844792703833987,0.6117579908675799,0.6300228310502283
ES,NO,0,0.0,0.0,0.0,0.0
FR,NO,0,0.0,0.0,0.0,0.0
IT,NO,0,0.0,0.0,0.0,0.0
NL,NO,700,244.55322249603435,0.34936174642290624,0.29315068493150687,0.305365296803653
PL,NO,0,0.0,0.0,0.0,0.0
SE,NO,3995,604.5685679100891,0.15133130611015996,0.11461187214611872,0.1182648401826484
UK,NO,0,0.0,0.0,0.0,0.0
AT,PL,0,0.0,0.0,0.0,0.0
BE,PL,0,0.0,0.0,0.0,0.0
CH,PL,0,0.0,0.0,0.0,0.0
