from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,0.4274675135101585,0.0003562229279251321,0.0,0.0
CZ,AT,800.0,73.64653899073116,0.09205817373841395,0.03550228310502283,0.043835616438356165
DE,AT,5000.0,875.3984253076453,0.17507968506152907,0.008561643835616438,0.019178082191780823
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,1.0563996935273963,0.004495317844797431,0.004223744292237443,0.0043378995433789955
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,981.187444399805,0.981187444399805,0.977283105022831,0.9779680365296803
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,124.7641903289892,0.037807330402724,0.014269406392694063,0.01723744292237443
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,1217.804290983988,0.8698602078457057,0.8350456621004566,0.8429223744292238
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,582.0607171498517,0.5820607171498517,0.5305936073059361,0.542351598173516
AT,CH,1200.0,1113.878666858606,0.9282322223821717,0.9194063926940639,0.9211187214611872
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,2458.3675834670453,0.910506512395202,0.8910958904109589,0.8953196347031963
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,4.1623651522140745,0.0013213857626076426,0.00022831050228310502,0.00022831050228310502
