zone,hour,value
FR,1,41370.6623347
FR,2,31334.3816467
FR,3,31740.608334700002
FR,4,34883.3543347
FR,5,25556.785646700002
FR,6,34604.9363347
FR,7,29623.809334700003
FR,8,21138.817669200005
FR,9,21529.6133347
FR,11,3146.230334699998
FR,12,1893.7123347000015
FR,13,2237.250334700002
FR,14,5637.409334700002
FR,15,13468.144334700002
FR,16,25456.0793347
FR,17,35755.209334700005
FR,18,40027.1793347
FR,19,32739.321646700002
FR,20,40339.5873347
FR,21,23711.884646700004
FR,22,29972.693646699998
FR,23,39787.2303347
FR,24,37232.3393347
FR,25,26247.761646700004
FR,26,28904.544334699996
FR,27,31495.0683347
FR,28,21475.1546467
FR,29,31843.7803347
FR,30,29197.703334699996
FR,31,22473.907646700005
FR,32,37940.8053347
FR,33,33845.8823347
FR,34,21374.223646699997
FR,35,27399.031334700005
FR,36,21938.8083347
FR,37,17132.0846467
FR,38,26865.586334699998
FR,39,29743.061334700003
FR,40,27047.1336467
FR,41,42468.56808687344
FR,42,31368.669646700007
FR,43,36915.465675775966
FR,44,42346.637334700004
FR,45,38928.2693347
FR,46,31856.265263571506
FR,47,42205.46085157149
FR,48,32803.96736377596
FR,49,27243.7183635715
FR,50,34158.0753347
FR,51,30502.531334699997
FR,52,19009.657646700005
FR,53,27803.144334700002
FR,54,23596.817334699997
FR,55,22180.337263571502
FR,56,32784.9848515715
FR,57,31425.112560341066
FR,58,19837.449375775963
FR,59,26763.8083347
FR,60,20177.492363775957
FR,61,14976.113075775964
FR,62,24835.2483347
FR,63,26284.673334699997
FR,64,21019.1056467
FR,65,34664.3073347
FR,66,23490.647646700003
FR,67,28892.7376467
FR,68,35044.3763347
FR,69,31719.3538515715
FR,70,23057.901807328108
FR,71,34371.790851571495
FR,72,21587.251386275962
FR,73,19253.244294105676
FR,74,26950.880351571497
FR,75,23768.7069515715
FR,76,12930.858863571504
FR,77,16282.345334700003
FR,78,17857.036451571505
FR,79,15609.771363571503
FR,80,25958.053651571503
FR,81,10308.847963571496
FR,82,20298.3863347
FR,83,6886.461646700001
FR,84,13117.447334700002
FR,85,10020.907334699994
FR,87,15859.323334700006
FR,88,26310.2023347
BE,89,438.0172724915787
FR,89,33821.6873347
FR,90,39136.0233347
BE,91,742.2978290759593
FR,91,31876.4876467
FR,92,39045.6733347
FR,93,36361.5093347
FR,94,28073.7816467
FR,95,32970.2353347
FR,96,36075.0233347
FR,97,24472.124075775966
FR,98,32998.1172515715
FR,99,21013.920363571502
FR,100,20196.644963571503
FR,101,32187.7237515715
FR,102,33804.4943347
BE,103,953.0519290759612
FR,103,37551.696646699995
BE,104,1440.7214290759593
FR,104,48209.9583347
FR,105,39476.7323347
FR,106,14691.849963571509
FR,107,19022.739334699996
FR,108,14563.570334700002
FR,109,13354.260051571504
FR,110,8383.623363571509
FR,111,24517.4503347
BE,112,1332.9908290759604
FR,112,37788.453334699996
BE,113,2141.165629075961
FR,113,48905.8563347
BE,114,2167.6636290759607
FR,114,44376.6266467
BE,115,1637.792429075961
FR,115,53570.2273347
BE,116,964.6263290759607
FR,116,49809.031334700005
FR,117,36523.11264670001
BE,118,588.3198290759619
FR,118,36675.34735720001
BE,119,632.8866290759606
FR,119,46338.3933347
FR,120,34694.1176467
