zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,1111.1470389196722,9006.0,-2409.4429865711145,0.12798284253854783,0.26753752904409445
BE,8040.0,3471.6213504766397,7440.0,-2128.860755191728,0.43179370030803976,0.28613719827845807
CH,10752.0,4351.878184857873,13608.0,-5189.161429915047,0.4047505752285968,0.3813316747439041
CZ,3840.0,1425.207473181813,4200.0,-423.6515391643067,0.37114777947443045,0.10086941408673969
DE,31236.0,2787.7828332508175,26118.0,-16404.44458702047,0.08924903423136181,0.6280896158595785
DK,8184.0,1497.134638235487,9054.0,-3299.2315372459557,0.18293433996034789,0.3643949124415679
ES,3360.0,1.0761276569634695,3120.0,-3015.6741189665345,0.000320276088381985,0.966562217617479
FR,14772.0,13195.955322025004,20940.0,-696.7599322831575,0.8933086462242759,0.033274113289549066
IT,10854.0,4293.560890793217,5346.0,-2548.1086000572523,0.3955740640126421,0.47663834643794467
NL,10860.0,5949.42523721611,9660.0,-2845.571230914891,0.5478292115300285,0.29457259119201773
NO,9282.0,1941.48971756805,8922.0,-3281.004962668796,0.20916717491575632,0.3677432148250164
PL,2040.0,372.44643006699124,4680.0,-3501.4491007740876,0.18257177944460354,0.7481728847807879
SE,8820.0,6177.157379020806,8628.0,-248.2725995812578,0.700357979480817,0.028775220164726216
UK,4800.0,1998.9582322879571,4800.0,-2583.207475202804,0.4164496317266577,0.5381682240005842
