from,to,constrained_maximum_mean
AT,CH,0.9269406392694064
AT,CZ,0.15730593607305937
AT,DE,0.007420091324200913
AT,IT,0.9551369863013699
BE,DE,0.9788812785388128
BE,FR,0.64337899543379
BE,NL,0.8786529680365297
BE,UK,0.7531963470319635
CH,DE,0.9007990867579909
CH,FR,0.9243150684931507
CH,IT,0.6183789954337899
CZ,DE,0.11255707762557078
CZ,PL,0.9730593607305936
DE,DK,0.25
DE,FR,0.9595890410958904
DE,NL,0.7539954337899544
DE,NO,0.6703196347031963
DE,PL,0.9523972602739726
DE,SE,0.9029680365296804
DK,NL,0.5366438356164384
DK,NO,0.2825342465753425
DK,SE,0.6067351598173516
ES,FR,0.9605022831050228
FR,IT,0.9049086757990867
FR,UK,0.9674657534246576
NL,NO,0.588013698630137
NL,UK,0.9998858447488584
NO,SE,0.5506849315068493
PL,SE,0.9866438356164383
