zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,952.2415129341542,7505,-2135.7543661493605,0.13161596585129984,0.28457753046627055
BE,6700,2904.6626664304226,6200,-1661.55458060182,0.43353174125827204,0.26799267429061613
CH,8960,3592.447477279667,11340,-4416.026379470816,0.4009427988035343,0.3894203156499838
CZ,3200,1395.1374652300221,3500,-346.2681962997578,0.43598045788438194,0.09893377037135936
DE,26030,2381.771723251529,21765,-14433.837936766811,0.0915010266327902,0.6631673759139357
DK,6820,1607.6372364637919,7545,-3352.2034580264854,0.23572393496536537,0.4442946929127217
ES,2800,0.7776469748858443,2600,-2505.741323406175,0.00027773106245923014,0.9637466628485288
FR,12310,10868.710803651356,17450,-577.2576348354597,0.8829172058205813,0.03308066675274841
IT,9045,3672.852976951496,4455,-2131.130509611398,0.40606445295207255,0.4783682400923452
NL,9050,5104.800166965133,8050,-2345.0533391448084,0.5640663167917274,0.2913109738068085
NO,7735,1950.5192178250813,7435,-3290.288673516018,0.25216796610537573,0.44254050753409796
PL,1700,319.76246019385843,3900,-2900.4930681432984,0.1880955648199167,0.7437161713187944
SE,7350,6102.286147620504,7190,-200.4477699641153,0.8302430132817012,0.027878688451198234
UK,4000,1647.3372428751663,4000,-2204.8875087107444,0.41183431071879156,0.5512218771776861
