from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,0.31627883182927974,0.00026356569319106645,0.0,0.0
CZ,AT,800,73.58055790660433,0.09197569738325541,0.03538812785388128,0.043721461187214615
DE,AT,5000,877.2927906574504,0.17545855813149008,0.007648401826484018,0.016666666666666666
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,1.0518855382762549,0.004476108673515978,0.004223744292237443,0.004223744292237443
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,981.7411719103301,0.9817411719103301,0.9780821917808219,0.9785388127853881
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,123.1351176235019,0.03731367200712179,0.013470319634703196,0.01723744292237443
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,1217.725659746738,0.8698040426762415,0.8351598173515982,0.8430365296803652
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,582.0607171498518,0.5820607171498519,0.5304794520547945,0.5421232876712329
AT,CH,1200,1113.683580306272,0.9280696502552267,0.9194063926940639,0.9213470319634703
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,2458.018387356227,0.9103771805023062,0.8908675799086758,0.8953196347031963
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,4.12019653533274,0.0013079989001056316,0.00011415525114155251,0.00011415525114155251
IT,CH,1910,16.625313081836623,0.008704352398867342,0.0058219178082191785,0.005936073059360731
NL,CH,0,0.0,0.0,0.0,0.0
NO,CH,0,0.0,0.0,0.0,0.0
PL,CH,0,0.0,0.0,0.0,0.0
SE,CH,0,0.0,0.0,0.0,0.0
UK,CH,0,0.0,0.0,0.0,0.0
AT,CZ,900,241.40312078982558,0.2682256897664729,0.19600456621004567,0.21027397260273972
