from,to,constrained_maximum_mean
AT,CH,0.9194063926940639
AT,CZ,0.23139269406392693
AT,DE,0.02054794520547945
AT,IT,0.9504566210045662
BE,DE,0.9781963470319635
BE,FR,0.5740867579908676
BE,NL,0.8734018264840183
BE,UK,0.8005707762557077
CH,DE,0.8908675799086758
CH,FR,0.9256849315068493
CH,IT,0.6396118721461187
CZ,DE,0.18664383561643835
CZ,PL,0.9740867579908675
DE,DK,0.261986301369863
DE,FR,0.9570776255707762
DE,NL,0.8166666666666667
DE,NO,0.8618721461187214
DE,PL,0.9728310502283105
DE,SE,0.9881278538812786
DK,NL,0.6337899543378995
DK,NO,0.36598173515981736
DK,SE,0.8970319634703197
ES,FR,0.9571917808219178
FR,IT,0.9126712328767124
FR,UK,0.9708904109589042
NL,NO,0.634703196347032
NL,UK,0.9994292237442922
NO,SE,0.6786529680365296
PL,SE,0.9926940639269406
