zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,729.5668096920374,6004.0,-1480.4237669880777,0.12604817029924625,0.24657291255630873
BE,5360.0,2478.071419414976,4960.0,-2558.5169687547937,0.4623267573535403,0.5158300340231439
CH,7168.0,2420.866543912969,9072.0,-6084.358227841757,0.33773249775571557,0.6706744078308815
CZ,2560.0,293.19041909940444,2800.0,-1141.0374725522465,0.11452750746070486,0.40751338305437373
DE,20824.0,7693.536047019311,17412.0,-6022.551793811927,0.36945524620722775,0.34588512484561956
DK,5456.0,2431.9232181361494,6036.0,-2460.7308950315696,0.4457337276642503,0.4076757612709691
ES,2240.0,1536.012158621778,2080.0,-407.9638191474396,0.6857197136704366,0.19613645151319212
FR,9848.0,888.6209293777066,13960.0,-11186.724235855201,0.09023364433161114,0.8013412776400574
IT,7236.0,6649.814837337462,3564.0,-69.00603496735901,0.918990441865321,0.019361962673220823
NL,7240.0,6044.790063313993,6440.0,-810.7541599908595,0.8349157546013803,0.12589350310417075
NO,6188.0,995.5146598280446,5948.0,-2335.2841155190054,0.16087825789076352,0.392616697296403
PL,1360.0,1312.087787142769,3120.0,-77.70799407294562,0.9647704317226242,0.02490640835671334
SE,5880.0,426.20572840890605,5752.0,-2442.5077147080983,0.07248396741648062,0.424636250818515
UK,3200.0,3180.8824361596603,3200.0,-3.51585822388847,0.9940257612998938,0.001098705694965147
