from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,214.54375872677835,0.17878646560564862,0.14452054794520547,0.14931506849315068
CZ,AT,800.0,138.60405353137892,0.17325506691422365,0.12728310502283105,0.13641552511415525
DE,AT,5000.0,201.68412704526943,0.04033682540905389,0.005479452054794521,0.008105022831050229
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,1.0000782807100463,0.004255652258340623,0.00410958904109589,0.00410958904109589
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,494.91705177724873,0.4949170517772487,0.44360730593607306,0.45399543378995433
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,2678.8530495623563,0.8117736513825322,0.7384703196347032,0.7568493150684932
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,2.1335753460057743,0.0015239823900041244,0.00011415525114155251,0.00011415525114155251
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,0.35972205153784265,0.00035972205153784266,0.00034246575342465754,0.00034246575342465754
AT,CH,1200.0,215.77114454865256,0.17980928712387714,0.15079908675799086,0.15376712328767123
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,504.87093039366465,0.18698923347913507,0.14509132420091325,0.1519406392694064
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,2315.26889822975,0.7350059994380159,0.7011415525114155,0.7068493150684931
IT,CH,1910.0,10.368904995532152,0.005428746070959242,0.0029680365296803654,0.0031963470319634705
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,900.0,89.39081592131085,0.0993231288014565,0.0747716894977169,0.079337899543379
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1500.0,149.51747001628297,0.09967831334418864,0.06689497716894977,0.07374429223744292
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,800.0,0.9829073740931745,0.0012286342176164682,0.00034246575342465754,0.0005707762557077625
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,5000.0,851.5073309744331,0.17030146619488662,0.0817351598173516,0.09394977168949771
BE,DE,1000.0,222.43763337804927,0.22243763337804928,0.16449771689497716,0.17397260273972603
CH,DE,4600.0,2510.742628929607,0.5458136149846972,0.4243150684931507,0.44337899543378995
CZ,DE,2100.0,574.9347780080517,0.27377846571811987,0.07340182648401826,0.09463470319634704
DK,DE,2765.0,1886.617344853605,0.6823209203810506,0.555365296803653,0.6005707762557078
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1800.0,1312.7053330349547,0.7292807405749748,0.7224885844748858,0.7236301369863014
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,4250.0,0.0,0.0,0.0,0.0
NO,DE,1400.0,1047.2643283765753,0.748045948840411,0.7463470319634703,0.7463470319634703
PL,DE,2500.0,6.830484726494503,0.002732193890597801,0.0018264840182648401,0.002054794520547945
SE,DE,615.0,461.9153764433138,0.7510819129159574,0.7504566210045662,0.7504566210045662
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2500.0,469.70302144526715,0.18788120857810686,0.13949771689497717,0.15091324200913242
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,700.0,3.2848633444063915,0.00469266192058056,0.0030821917808219177,0.003424657534246575
NO,DK,1640.0,1194.3344784787587,0.7282527307797309,0.6974885844748858,0.7071917808219178
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1980.0,1330.4639945358392,0.671951512391838,0.5970319634703196,0.6074200913242009
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2800.0,2007.5931246493412,0.7169975445176219,0.7027397260273973,0.70662100456621
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1800.0,8.138707983106338,0.004521504435059076,0.002054794520547945,0.002397260273972603
CH,FR,1300.0,90.38367103802952,0.06952590079848424,0.06050228310502283,0.06164383561643835
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,2300.0,374.4006041450942,0.16278287136743225,0.1502283105022831,0.1528538812785388
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2600.0,443.49195617995446,0.1705738292999825,0.15468036529680365,0.15776255707762557
