from,to,constrained_maximum_mean
AT,CH,0.27671232876712326
AT,CZ,0.16232876712328767
AT,DE,0.017009132420091323
AT,IT,0.9530821917808219
BE,DE,0.5533105022831051
BE,FR,0.6602739726027397
BE,NL,0.5955479452054795
BE,UK,0.9974885844748859
CH,DE,0.3428082191780822
CH,FR,0.717351598173516
CH,IT,0.8802511415525114
CZ,DE,0.07591324200913242
CZ,PL,0.9598173515981735
DE,DK,0.6549086757990867
DE,FR,0.8281963470319634
DE,NL,0.7124429223744292
DE,NO,0.9795662100456621
DE,PL,0.946917808219178
DE,SE,0.9688356164383561
DK,NL,0.9259132420091324
DK,NO,0.6977168949771689
DK,SE,0.5278538812785388
ES,FR,0.840296803652968
FR,IT,0.8937214611872146
FR,UK,0.9997716894977169
NL,NO,0.9047945205479452
NL,UK,0.9897260273972602
NO,SE,0.17796803652968038
PL,SE,0.9980593607305936
