zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,623.0768633815765,7505,-1376.4253956047728,0.08611981525661043,0.18340111866819092
BE,6700,3091.6091597846616,6200,-3167.016038702541,0.4614342029529346,0.5108090385004098
CH,8960,2841.471031141663,11340,-6481.798351681742,0.31712846329706057,0.5715871562329579
CZ,3200,344.32450503933626,3500,-1185.5115467811943,0.10760140782479258,0.33871758479462694
DE,26030,8025.413104475878,21765,-7412.580635340936,0.3083139878784433,0.3405734268477343
DK,6820,3046.3471673509175,7545,-3068.884163948473,0.4466784702860583,0.40674409064923434
ES,2800,1885.8558465299402,2600,-523.8070181271155,0.6735199451892644,0.20146423774119826
FR,12310,1198.481961753028,17450,-13652.596597649537,0.09735840469155385,0.7823837591776239
IT,9045,8167.604701235285,4455,-98.51617456155654,0.9029966502194897,0.02211361943020349
NL,9050,7368.432533927759,8050,-1037.5744205988349,0.814191440213012,0.12889123237252606
NO,7735,1737.7409511820838,7435,-3077.5104068730225,0.2246594636305215,0.4139220453090817
PL,1700,1633.3096030122992,3900,-104.35323879072473,0.9607703547131172,0.026757240715570445
SE,7350,750.2567809230245,7190,-3497.35871404351,0.10207575250653395,0.48641984896293605
UK,4000,3974.262451496159,4000,-4.253958529651066,0.9935656128740398,0.0010634896324127666
