zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,539.0714230747647,7505.0,-1575.2242883691022,0.07450883525566893,0.20988997846357124
BE,6700.0,1939.9124152290992,6200.0,-2160.82828001917,0.28953916645210437,0.34852069032567257
CH,8960.0,1702.7526738335825,11340.0,-4004.1073402599536,0.19003936091892662,0.3530958853844756
CZ,3200.0,797.1241799890524,3500.0,-770.7857092202449,0.2491013062465789,0.22022448834864142
DE,26030.0,3711.441759429777,21765.0,-9402.312380536323,0.14258324085400603,0.4319922986692544
DK,6820.0,1455.4837460784977,7545.0,-2720.957561645178,0.21341403901444247,0.36063055820346956
ES,2800.0,803.8221680112789,2600.0,-1583.4791420563183,0.2870793457183139,0.6090304392524302
FR,12310.0,6572.30426844345,17450.0,-4170.25482406757,0.5338996156330992,0.23898308447378622
IT,9045.0,3493.2152816661373,4455.0,-1254.5757121685645,0.3862040112400373,0.2816107098021469
NL,9050.0,4259.3208255504,8050.0,-1998.3424895693292,0.4706431851436906,0.24824130305209058
NO,7735.0,1772.4315405302066,7435.0,-3111.75502693087,0.22914434913124843,0.4185279121628608
PL,1700.0,1317.5977691128612,3900.0,-174.1238841559286,0.7750575112428595,0.04464714978357144
SE,7350.0,2738.7075340834367,7190.0,-1397.276193263804,0.3726132699433247,0.19433604913265703
UK,4000.0,3478.040507387046,4000.0,-257.2032601572353,0.8695101268467615,0.06430081503930883
