zone,hour,value
PL,31,274.8524666253493
PL,33,1185.4950087529996
PL,35,1203.5730087529973
PL,36,1725.3430087530014
PL,37,1433.8253781530002
PL,38,3285.5350087530005
PL,39,2031.5930087530014
PL,40,4924.4556305999995
PL,41,2963.9930087529992
FR,42,509.9791504500063
PL,42,4329.773008753002
FR,43,474.90315045000534
PL,43,2439.4930087529992
PL,44,1801.3730087530002
PL,45,1041.2293781529988
PL,46,1128.2930087529985
PL,61,1126.4910087530025
PL,62,238.86100875300144
PL,63,2788.3430087530014
PL,64,2189.2430087529992
PL,65,3904.5747073820567
PL,66,1985.1430087530007
PL,67,1673.1430087530007
PL,68,1463.3793781530003
PL,69,1970.2293781529988
PL,88,2246.443008753
PL,89,802.5230087530017
PL,90,1010.355630600001
PL,91,835.3430087530014
PL,92,1866.9930087529992
PL,94,65.82631589193542
PL,102,713.9793781529988
PL,103,1648.9930087529992
FR,104,1308.8111504500012
PL,104,152.4170087529983
PL,105,1067.3290087529986
PL,109,776.9350087529983
PL,110,1195.961008753
PL,111,2445.329008753002
PL,112,5543.193008753
FR,113,2443.122852688912
PL,113,3914.473008752999
FR,114,6878.84785268891
PL,114,5847.249378152999
FR,115,6669.080150450001
PL,115,3635.0756305999985
FR,116,2907.884150450005
PL,116,4306.623008753
PL,117,1376.6430087530007
PL,118,89.94300875299996
FR,127,4842.048150449995
FR,128,6256.173452688912
PL,136,836.2230087529988
FR,137,4510.981150449999
PL,137,3017.1230087530002
FR,138,8232.548452688912
PL,138,1612.7256306
FR,139,7500.703150450008
PL,139,3127.8930087530007
FR,140,2932.714150450007
PL,140,1094.2430087529992
PL,141,1856.2230087529988
PL,150,3479.0993781530015
FR,151,4988.514150449995
PL,151,5130.881630599999
FR,152,7453.642150450007
PL,152,4822.253008752998
FR,153,2185.4031504500053
PL,153,4013.2990087529997
PL,154,1619.7156306000015
PL,155,3027.489008753002
PL,156,3681.2670087530005
PL,157,5110.3136306
PL,158,5898.353008753
PL,159,6701.099008752999
PL,160,8220.375630600001
FR,161,1126.719150449997
PL,161,6287.073008753001
FR,162,4894.032150450006
PL,162,7616.523008753002
FR,163,4529.854150450006
PL,163,7658.005630599999
FR,164,108.00415045000045
PL,164,6739.593008753001
PL,165,5259.755630599999
PL,166,1735.7730087530017
PL,167,2005.0230087530017
PL,168,1145.7756305999992
PL,169,517.3056306000017
PL,170,112.35563060000095
PL,172,465.50563059999877
PL,173,1452.2493781529993
PL,174,3934.4756306
PL,175,5367.773008753002
FR,176,775.0751504499967
PL,176,5824.079630599999
PL,177,5069.141008753
PL,178,4587.377630599998
PL,179,4335.511008752999
PL,180,4682.311630600003
PL,181,5065.051008753
PL,182,5835.589630600001
PL,183,4892.203630599999
PL,184,7665.493008752999
PL,185,7979.625630600001
FR,186,1901.1191504500057
PL,186,7430.443008753
FR,187,1566.638150450006
PL,187,7881.132000000001
PL,188,6361.393008753001
PL,189,3233.3756306000014
PL,190,3011.3730087530002
PL,191,1866.9756306
PL,192,838.2430087529992
PL,193,485.1256306000014
PL,194,554.6820000000007
PL,196,296.2756305999992
PL,197,1044.3056306000017
PL,198,3814.6556306
PL,199,5416.8256305999985
PL,200,5590.129008752998
PL,201,5224.521630599998
PL,202,5203.531378153002
PL,203,5148.985630600002
PL,204,5401.8876306
PL,205,4241.191008753
PL,206,6514.057630600002
PL,207,6500.9230087529995
PL,208,7526.505630599999
PL,209,7380.355630600001
PL,210,6831.2930087529985
PL,211,6772.2056305999995
PL,212,5914.925630600001
PL,213,2311.1730087529995
PL,214,2881.7056305999995
PL,215,1528.0230087530017
PL,216,529.855630600001
PL,222,685.355630600001
PL,223,1397.5430087529985
PL,224,2280.605008753
PL,225,3370.0196306000016
PL,226,3706.471630599999
PL,227,4087.9993781529993
PL,228,3804.2556306000024
PL,229,3919.337630600001
PL,230,1917.0390087530013
PL,231,3844.1836305999987
PL,232,4845.025630599999
PL,233,4520.273008753002
PL,234,2837.0819999999985
PL,235,2149.0056305999988
PL,236,3017.073008753001
PL,237,472.161942002293
PL,238,673.6730087529995
PL,253,178.8390087530006
PL,254,995.5776305999989
PL,256,1105.7056305999995
PL,257,3207.9756306
PL,258,1333.323008753001
PL,259,3267.2556305999988
PL,260,2484.7556305999988
PL,262,717.6756306000007
PL,270,2983.025630599999
PL,271,4756.443008753
PL,272,5473.823630600002
PL,273,3210.3656305999993
PL,274,4062.065008753003
PL,275,3992.4156306000023
PL,276,5016.848000000002
PL,277,5614.543630599999
PL,278,5896.871008753
PL,279,4828.603630599997
PL,280,7523.3256305999985
PL,281,7610.175630600001
PL,282,7084.273008753002
PL,283,7109.5756305999985
PL,284,6295.6556306
PL,285,3016.1556306
PL,286,2879.473008752999
PL,287,1489.6730087529995
PL,288,555.6256306000014
PL,289,440.41200000000026
PL,294,3998.5620000000017
PL,295,5236.625630600001
PL,296,5119.133630599999
PL,297,3699.795008752999
PL,298,2538.8536306000005
PL,300,828.0096305999996
PL,302,2506.0216305999984
PL,303,4952.699630600002
PL,304,6711.973008752999
PL,305,7319.775630599999
PL,306,7130.4556305999995
PL,307,7017.105630600001
PL,308,6218.525630599999
PL,309,4312.6730087529995
PL,310,2990.5056305999988
PL,312,438.8256305999985
PL,316,294.6820000000007
PL,317,705.355630600001
PL,318,3604.1256306000014
PL,319,5095.953630599999
PL,320,4701.6730087529995
PL,321,3498.3716306000006
PL,322,1537.3150087529993
PL,324,1564.699630600002
PL,325,2948.7996306000005
PL,326,4336.983630599998
PL,327,5597.701630599999
PL,328,6866.1730087529995
PL,329,7324.805630600002
PL,330,7194.355630600001
PL,331,7074.775630599999
PL,332,6272.675630600001
PL,333,2598.1730087529995
PL,334,2835.275630599999
PL,335,1566.5756305999985
PL,336,178.8430087530014
PL,341,417.19300875299996
PL,342,3506.4756306
PL,343,5060.855630600001
PL,344,4778.861008752998
PL,345,3871.3136305999997
PL,346,2369.4416306000003
PL,348,1973.7959999999985
PL,349,2229.9416306000003
PL,350,3629.5656306
PL,351,5320.1650087530015
PL,352,7738.9619999999995
PL,353,7543.2056305999995
PL,354,7184.0756305999985
PL,355,6985.875630600001
PL,356,6138.593008753001
PL,357,3052.7256306
PL,358,3047.9556305999995
PL,359,1422.3430087530014
PL,360,552.8756306000014
PL,364,283.28199999999924
PL,365,610.355630600001
PL,366,3948.4619999999995
PL,367,4790.651008752999
PL,368,4299.003630599998
PL,369,702.5536306000013
PL,374,3028.515630600001
PL,375,5140.289630600002
PL,376,6709.273008753002
PL,377,7152.355630600001
PL,378,7175.7119999999995
PL,379,4776.005630599999
PL,380,5466.123008753
PL,381,4020.4556305999995
PL,382,2523.3256305999985
PL,390,444.9556305999995
PL,391,1233.2316306000012
PL,392,1598.7396305999991
PL,393,1075.3350087529998
PL,395,704.2416305999996
PL,398,2366.591630599998
PL,399,3350.395630599998
PL,400,5045.432000000001
PL,401,2821.5930087530014
PL,402,4473.525630599999
PL,403,3823.1680630728133
PL,404,1802.7056305999995
PL,405,517.7256305999999
PL,406,1141.3756306000014
PL,423,819.5696306000009
PL,424,1121.0319999999992
PL,425,2932.8256305999985
PL,426,1351.9556305999995
PL,427,3056.105630600001
PL,428,1122.5319999999992
PL,438,2767.8256305999985
FR,439,1624.6072526889097
PL,439,4490.351008752999
FR,440,4514.6519526889115
PL,440,3155.1556306
FR,441,230.16215044999626
PL,441,3736.9876305999987
PL,442,2112.0896306000013
PL,444,1174.7016305999987
PL,445,2371.557630600002
PL,446,4372.897630599999
PL,447,6029.535630599998
FR,448,840.46615045
PL,448,7190.6556306
FR,449,6428.543150450005
PL,449,7345.855630600001
FR,450,10957.435150449997
PL,450,6818.143008753001
FR,451,11003.533150449995
PL,451,5157.3256305999985
FR,452,6236.688320975568
PL,452,6362.531999999999
FR,453,1200.4159526889093
PL,453,4518.4556305999995
FR,454,1610.9931526889054
PL,454,2980.2256306
FR,455,2256.904552688917
PL,456,417.0256305999992
PL,461,740.7556305999988
FR,462,396.61545268890995
PL,462,3382.6730087529995
FR,463,6204.583652688915
PL,463,5285.9556305999995
FR,464,7936.388552688913
PL,464,5459.425630600001
FR,465,744.7351504500002
PL,465,4697.837630600001
PL,466,4279.344000000001
PL,467,3769.8650087529986
PL,468,4360.397630600002
PL,469,3518.3036306000013
PL,470,4550.916000000001
PL,471,6326.161630600001
PL,472,7262.675630600001
FR,473,5148.260152688917
PL,473,7287.893008753001
FR,474,10361.146652688905
PL,474,7252.925630600001
FR,475,9937.162895635458
PL,475,7084.9056306
FR,476,4729.081150450005
PL,476,6474.529378153002
FR,477,16.646150450007553
PL,477,2873.775630599999
PL,478,3134.9256306000007
FR,479,453.9671504500038
PL,479,1690.7756305999992
PL,480,800.2756305999992
PL,481,538.6820000000007
PL,484,272.50563059999877
PL,485,866.8930087530007
FR,486,604.1231504500065
PL,486,3393.0430087529985
FR,487,6298.130150450004
PL,487,5369.9556305999995
FR,488,8088.367150449998
PL,488,4986.1290087530015
FR,489,2972.8811504499936
PL,489,3912.0376306000016
PL,490,2216.961630599997
PL,492,1505.9030087530027
PL,493,2969.3356306000005
PL,494,4203.817008753
PL,495,5777.675630599997
PL,496,7062.4556305999995
FR,497,7050.069150450003
PL,497,7273.875630600001
FR,498,10668.237452688918
PL,498,6947.125630600001
FR,499,11181.127150450007
PL,499,6769.175630600001
FR,500,6255.545452688915
PL,500,6108.055630600002
FR,501,422.04815044999486
PL,501,2841.275630599999
FR,502,949.2929968010667
PL,502,3005.4056306
FR,503,809.0481504499949
PL,503,1570.1756306000007
PL,504,599.5056305999988
PL,505,298.6820000000007
PL,506,81.0619999999999
PL,509,742.8056306000017
FR,510,1404.8451504500008
PL,510,3546.9556305999995
FR,511,7828.814452688914
PL,511,5113.883630599999
FR,512,9229.122952688907
PL,512,5073.897630600002
FR,513,2397.7531504499966
PL,513,3893.3496305999997
PL,514,2298.4956306000004
PL,516,1708.6316306000026
PL,517,2821.1370087529995
PL,518,4645.643630600001
PL,519,6123.5136306
PL,520,7276.4756306
FR,521,6975.315150450002
PL,521,7582.9756306
FR,522,11904.48735268891
PL,522,7171.8256305999985
FR,523,12608.439150449998
PL,523,6992.7056305999995
FR,524,8023.283952688913
PL,524,6697.232
FR,525,3197.196252688908
PL,525,2707.5930087530014
FR,526,3324.0144526889094
PL,526,3223.355630600001
FR,527,3907.494252688914
PL,527,1563.193008753
FR,528,207.20115045000057
PL,528,772.5056305999988
PL,530,220.28199999999924
PL,533,846.2256305999999
FR,534,4624.544852688914
PL,534,3637.855630600001
FR,535,10617.32895268891
PL,535,5247.8256305999985
FR,536,11529.407052688919
PL,536,5313.131630600003
FR,537,1000.492150449998
PL,537,4553.283630600001
PL,538,3548.597630600003
PL,539,3244.4036306
PL,540,3286.3336306
PL,541,2718.4693781530004
PL,542,5273.0996306
PL,543,6124.305630599998
PL,544,7175.275630599999
FR,545,7166.607248938915
PL,545,7583.2256306
FR,546,11776.559152688907
PL,546,6993.443008753
FR,547,10997.949150450007
PL,547,6856.4556305999995
FR,548,6894.7801504499985
PL,548,6024.605630600001
FR,549,2971.2341504499964
PL,549,2669.775630599999
FR,550,3195.4061504500023
PL,550,2795.223008752999
FR,551,3501.1961504499977
PL,551,1735.5256305999992
FR,552,92.78715044999626
PL,552,679.855630600001
PL,558,799.5556306000017
PL,559,1591.6336305999994
PL,565,387.6519999999982
PL,567,3185.007630599999
PL,568,4855.3319999999985
PL,569,4946.605630600001
FR,570,923.312150450005
PL,570,4542.6730087529995
FR,571,1732.1051504499956
PL,571,2780.605630600001
PL,572,3772.2556305999988
PL,573,2527.355630600001
FR,575,372.643150449996
PL,575,117.17563060000066
PL,586,167.29199999999764
PL,589,535.8056306000017
PL,590,821.193630599997
PL,591,1210.6156305999993
PL,592,2381.9556305999995
PL,593,1564.5256305999992
FR,594,5542.0979560253
PL,594,3213.943008753
FR,595,1665.3451504500008
PL,595,3411.855630600001
PL,596,1063.4056306000002
PL,597,240.65563060000022
PL,598,1041.355630600001
PL,605,292.112000000001
PL,606,3541.0319999999992
FR,607,3067.569150450003
PL,607,4733.731630600001
FR,608,3010.044150449994
PL,608,2884.581008752999
PL,609,3344.7256306
PL,610,1581.381630599999
PL,613,2366.3216305999977
PL,614,4071.309630599999
PL,615,5603.8876306
PL,616,6593.993008752999
FR,617,1934.4291504500034
PL,617,7431.9556305999995
FR,618,5969.912150449996
PL,618,7199.005630599999
FR,619,5655.690150450002
PL,619,7065.555630600002
FR,620,1213.544150449994
PL,620,4457.9756306
PL,621,4577.3256305999985
PL,622,3251.3493781530015
PL,623,1670.355630600001
PL,624,493.2730087530017
PL,625,250.05563060000168
PL,628,269.25563059999877
PL,630,3592.1556306
FR,631,3711.5806466999984
PL,631,4940.5296306
FR,632,1718.5871504499992
PL,632,4313.6876305999995
PL,633,2779.609630599998
PL,634,1753.3336306
PL,635,1477.8136306000033
PL,636,1966.9876305999987
PL,637,3382.613630599999
PL,638,4636.537008753001
PL,639,6148.913630600002
PL,640,7064.555630600002
FR,641,1558.7390526889071
PL,641,7662.875630600001
FR,642,7056.576652688917
PL,642,7313.505630599999
FR,643,6476.682652688916
PL,643,7084.555630600002
FR,644,1647.6071504500032
PL,644,6229.1730087529995
PL,645,3014.2556305999988
PL,646,3619.5620000000017
PL,647,1782.0256305999992
PL,648,606.2930087529985
PL,649,284.0556306000017
PL,652,434.1293781530003
PL,653,800.9230087529995
PL,654,3638.025630599999
FR,655,2146.062150450005
PL,655,5136.481630600001
FR,656,2357.568150449999
PL,656,4839.297008753003
PL,657,3915.9216306
PL,658,2366.4196305999994
PL,659,2099.5856306000005
PL,660,2334.399630599999
PL,661,1428.0750087529977
PL,662,2656.3336306
PL,663,5623.793630599999
PL,664,6801.775630599999
PL,665,7210.973008752999
FR,666,4392.229150450006
PL,666,7578.781999999999
FR,667,4478.518150449996
PL,667,6996.525630599999
FR,668,619.4431504499989
PL,668,6321.8256305999985
PL,669,4381.573008753001
PL,670,3057.3056306000017
PL,672,634.8256305999985
PL,673,105.00563059999877
PL,677,531.6730087529995
PL,678,3343.855630600001
FR,679,951.9221504500056
PL,679,4740.557630600002
FR,680,2048.5471504500056
PL,680,4247.525008753002
FR,681,802.8571504500032
PL,681,3480.337630600001
PL,682,2521.1756306000007
PL,683,1898.8536306000005
PL,685,2631.5620000000017
PL,686,3235.649630599999
PL,687,4929.363630600003
FR,688,3594.8661504500105
PL,688,6432.4756306
FR,689,500.7741504500045
PL,689,7228.305630600002
FR,690,4511.534150449999
PL,690,7063.305630600002
FR,691,4817.340646699995
PL,691,6639.843008753001
PL,692,6126.305630600002
PL,693,4484.7256306
PL,694,3034.275630599999
PL,696,646.7556305999988
PL,697,62.75563059999877
PL,700,445.03199999999924
PL,701,831.355630600001
PL,702,3398.8056306000017
FR,703,2868.711352688912
PL,703,4815.1613781529995
FR,704,3792.590652688913
PL,704,4570.765630599997
PL,705,3663.055630599998
PL,706,2814.3156306
PL,707,2388.9876305999987
PL,708,2355.0210087530013
PL,709,1647.5676306000005
PL,710,4772.883630599999
PL,711,5790.7796306
PL,712,6736.2056305999995
PL,713,7365.055630600002
FR,714,5061.993150450002
PL,714,7046.2056305999995
FR,715,5235.509150450005
PL,715,7053.912
FR,716,1533.4071504500062
PL,716,4190.605630600001
PL,717,4288.555630600002
PL,718,2944.105630600001
PL,719,1857.329378153001
PL,720,594.5056305999988
PL,726,611.5056305999988
PL,727,1108.703630599999
PL,728,1806.909630600001
PL,729,1476.8390087530006
PL,731,354.5316306000004
PL,733,519.2696306000016
PL,734,1110.3836305999994
PL,735,2385.069630600001
PL,736,1755.0930087530014
PL,737,2911.5056305999988
PL,738,4473.875630600001
PL,739,2454.775630599999
PL,740,1802.8256305999985
PL,741,369.99300875299923
PL,742,1500.7119999999995
PL,760,1230.9713573657918
PL,761,1275.7756305999992
PL,762,1485.3256305999985
PL,763,1307.6256306000014
PL,764,2739.199378153
PL,766,630.105630600001
FR,774,323.71615045
PL,774,2827.0556306000017
FR,775,7382.440150450002
PL,775,2563.305630599998
FR,776,6684.7071504499945
PL,776,3520.5576305999984
PL,782,2933.973008752999
PL,783,4811.3536306000005
PL,784,6070.9056306
FR,785,5441.08315045
PL,785,5425.9056306
FR,786,10674.971452688911
PL,786,6875.7056305999995
FR,787,12406.861150450004
PL,787,6667.993008752999
FR,788,6984.650252688914
PL,788,6041.4556305999995
FR,789,3063.653852688913
PL,789,2873.9756306
FR,790,3426.1254526889156
PL,790,3061.6556306
FR,791,3990.4958526889045
PL,791,1614.0256305999992
FR,792,518.0691504500028
PL,792,371.6730087529995
PL,793,347.6820000000007
PL,795,163.86199999999917
PL,796,117.55563060000168
FR,797,3608.3526466999956
FR,798,10178.887509114602
PL,798,3361.2430087529992
FR,799,10454.660252688915
PL,799,4739.935630599999
FR,800,10187.914552688908
PL,800,4197.6916306
FR,801,4080.3071504500003
PL,801,2627.017630600001
PL,803,122.30100875300013
PL,804,795.8576306000014
PL,805,2186.051378152999
PL,806,3537.6516305999994
PL,807,4983.387630599997
PL,808,6289.7256306
FR,809,5285.43215045
PL,809,7416.7056305999995
FR,810,11667.870952688907
PL,810,7042.323008753001
FR,811,12010.248452688915
PL,811,7053.7056305999995
FR,812,7348.5971504500085
PL,812,4584.5756305999985
FR,813,2939.2001504499967
PL,813,4686.505630599999
FR,814,3000.5361383362515
PL,814,3015.193008753
FR,815,3162.488150449997
FR,816,570.713150450003
PL,817,132.2056305999995
PL,820,267.9556305999995
PL,821,1464.8319999999985
FR,822,2860.4941504500057
PL,822,3752.6556306
FR,823,8694.941752688906
PL,823,4943.8136306
FR,824,7714.136452688905
PL,824,4531.791630599999
PL,825,2945.2256306
PL,827,1333.443008753
PL,828,1702.887008753003
PL,829,2938.9376305999995
PL,830,3812.1190087529994
PL,831,5193.481630600001
PL,832,6509.175630600001
FR,833,5551.1980907797015
PL,833,7510.2256306
FR,834,12367.108248938908
PL,834,7372.125630600001
FR,835,13819.51155268891
PL,835,5394.005630599999
FR,836,8079.762150450002
PL,836,6117.573008753001
FR,837,3663.7261504499966
PL,837,4747.755630599999
FR,838,4331.379752688919
PL,838,3279.2556305999988
FR,839,5115.697852688916
FR,840,1848.1751504500025
PL,840,809.7556305999988
FR,841,966.7561504499936
PL,841,193.3756306000014
FR,842,29.108150450007088
PL,843,422.28199999999924
PL,844,339.7056305999995
PL,845,1031.7430087529992
FR,846,4725.489586968504
PL,846,3673.8430087530014
FR,847,10487.65325268891
PL,847,4909.873630600001
FR,848,7934.369552688919
PL,848,4007.133630600003
PL,854,1928.6470087530015
PL,855,4814.7436306
PL,856,6660.4056306
FR,857,6761.6231504500065
PL,857,7633.7256306
FR,858,12976.714150450007
PL,858,5746.925630600001
FR,859,13661.00415045
PL,859,7250.925630600001
FR,860,9456.84515045
PL,860,6230.7930087529985
FR,861,5091.952150450004
PL,861,4918.355630600001
FR,862,5095.575150449997
PL,862,3380.1756306000007
FR,863,5654.865150450005
PL,863,160.2756305999992
FR,864,2985.5051504500043
PL,864,824.605630600001
FR,865,3118.5506466999996
PL,865,99.19300875299996
FR,866,1411.2771504500015
PL,866,83.37563060000139
PL,867,71.2756305999992
PL,868,373.42563060000066
PL,869,1187.3256305999985
FR,870,5849.991150450009
PL,870,3568.823008753001
FR,871,12482.556150449996
PL,871,4662.017630600001
FR,872,10689.510150450009
PL,872,947.1816306000019
FR,873,565.3351504499915
PL,878,870.3616305999985
PL,879,4155.443630600001
PL,880,6297.933630599999
FR,881,6892.112150449993
PL,881,5658.5430087529985
FR,882,13471.411150450007
PL,882,7365.7256306
FR,883,14357.991150450009
PL,883,7062.9056306
FR,884,10451.005150450004
PL,884,4476.875630600001
FR,885,6449.7221504500085
PL,885,4435.2930087529985
FR,886,6952.141150450003
PL,886,3144.8056306000017
FR,887,7550.167150450001
PL,887,225.07563059999848
FR,888,4361.910150450003
PL,888,706.0230087530017
