from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,26.858761554170023,0.022382301295141686,0.015182648401826484,0.016095890410958904
CZ,AT,800.0,128.60794524408064,0.1607599315551008,0.0958904109589041,0.10707762557077626
DE,AT,5000.0,407.7571578090533,0.08155143156181066,0.0036529680365296802,0.005365296803652968
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,4.250208302185191,0.018085992775256132,0.01643835616438356,0.017123287671232876
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,880.5535286743617,0.8805535286743617,0.8318493150684931,0.8428082191780822
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,468.03803231686004,0.14182970676268486,0.07203196347031963,0.08378995433789954
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,539.7890067844157,0.38556357627458265,0.3038812785388128,0.32031963470319635
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,52.26791215641892,0.052267912156418926,0.04349315068493151,0.04497716894977169
AT,CH,1200.0,462.98967108270347,0.38582472590225286,0.3493150684931507,0.35605022831050226
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,1257.5587430869746,0.4657624974396202,0.4055936073059361,0.41769406392694064
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,205.13703352313897,0.06512286778512348,0.03755707762557078,0.04132420091324201
IT,CH,1910.0,15.797285621983395,0.008270830168577693,0.005593607305936073,0.005593607305936073
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
