zone,mc_el_mean_mean,mc_el_mean_std
FR,28.891557044823838,16.322968078843633
AT,34.73931124785197,8.256179219114422
BE,24.662876899895796,7.896266357569995
CH,16.13804410898073,1.3543553505409442
CZ,12.459419319461858,1.6548467245503884
DE,24.935742294275244,5.847533853913462
DK,32.85184363736294,7.35437987670689
ES,34.96046970785194,9.559508394967365
IT,60.06345232495741,25.199533256199704
PL,77.67969840298306,59.716199737767006
SE,22.701695702560535,3.5767787687776673
UK,43.519982102985054,6.180462257451228
NO,8.148039694730269,1.4963705155506941
NL,43.554696947644636,13.536650322394179
