zone,mc_el_maximum_mean,mc_el_maximum_std
FR,78.90219800540572,112.30316533387483
AT,68.57027938519501,17.759032222842123
BE,68.04637289479768,32.98516519395858
CH,23.128249935243954,2.4326639015811056
CZ,17.99165480333954,2.9478128414345095
DE,68.23691890997554,18.66343276546753
DK,66.22516926332038,20.055631010784484
ES,79.02489251326564,23.407027269035677
IT,80.96996295179142,19.963214775893295
PL,306.70587044471256,401.6215033608061
SE,65.88155676639687,14.411715097292902
UK,103.72819676898149,11.486855269804018
NO,8.743934979949053,2.884865099533212
NL,72.7881297261307,22.740971165414564
