from,to,constrained_maximum_mean
AT,CH,0.45057077625570774
AT,CZ,0.35684931506849316
AT,DE,0.010388127853881279
AT,IT,0.6844748858447488
BE,DE,0.8800228310502283
BE,FR,0.3281963470319635
BE,NL,0.46506849315068494
BE,UK,0.8713470319634703
CH,DE,0.561986301369863
CH,FR,0.619406392694064
CH,IT,0.5407534246575343
CZ,DE,0.09805936073059361
CZ,PL,0.7802511415525114
DE,DK,0.4052511415525114
DE,FR,0.9017123287671233
DE,NL,0.5598173515981735
DE,NO,0.7699771689497716
DE,PL,0.8167808219178082
DE,SE,0.6607305936073059
DK,NL,0.6827625570776256
DK,NO,0.5311643835616439
DK,SE,0.2819634703196347
ES,FR,0.8560502283105023
FR,IT,0.6412100456621005
FR,UK,0.8432648401826484
NL,NO,0.8863013698630137
NL,UK,0.9726027397260274
NO,SE,0.37374429223744293
PL,SE,0.7945205479452054
