from,to,constrained_maximum_mean
AT,CH,0.2893835616438356
AT,CZ,0.41506849315068495
AT,DE,0.03504566210045662
AT,IT,0.6123287671232877
BE,DE,0.802054794520548
BE,FR,0.3678082191780822
BE,NL,0.48299086757990867
BE,UK,0.8820776255707763
CH,DE,0.49726027397260275
CH,FR,0.6385844748858448
CH,IT,0.40616438356164386
CZ,DE,0.14121004566210046
CZ,PL,0.7542237442922375
DE,DK,0.3622146118721461
DE,FR,0.8635844748858448
DE,NL,0.5082191780821917
DE,NO,0.8033105022831051
DE,PL,0.8125570776255707
DE,SE,0.6589041095890411
DK,NL,0.64337899543379
DK,NO,0.5320776255707762
DK,SE,0.3219178082191781
ES,FR,0.8213470319634704
FR,IT,0.6764840182648402
FR,UK,0.8692922374429224
NL,NO,0.902283105022831
NL,UK,0.9569634703196347
NO,SE,0.440296803652968
PL,SE,0.8240867579908676
