zone,hour,value
CZ,160,259.3260688588007
PL,160,437.7833869060016
CZ,161,360.6560688588006
PL,161,409.7633869060012
CZ,162,174.69606885879966
PL,162,34.213386906001915
CZ,184,178.97606885880032
PL,184,83.18338690599944
CZ,185,269.6460688588004
PL,185,197.03338690600162
BE,450,1124.8692418063183
BE,451,631.0833418063175
BE,474,663.0865418063149
BE,475,46.935541806315996
BE,498,970.1773418063276
BE,499,343.60184180632814
BE,522,1716.25658760632
FR,522,490.17065419999926
BE,523,1293.4589876063196
FR,523,607.628654199998
BE,535,919.268841806319
BE,536,1673.5982876063208
FR,536,157.74865420000788
BE,546,922.9193876063191
FR,546,1155.579654199999
BE,547,102.59638760631879
FR,547,797.1386542000073
CZ,641,35.95945576480085
BE,786,976.9113418063225
BE,787,1187.6107876063193
FR,787,406.0506542000039
BE,799,756.6001418063238
BE,800,489.85444180631885
CZ,809,37.01712486479869
BE,810,1136.133187606321
FR,810,833.677654199997
BE,811,658.3836876063206
FR,811,1653.8046542000047
CZ,833,36.939455764800414
BE,834,983.4599876063194
FR,834,926.8976541999982
BE,835,619.5457876063201
FR,835,2193.9056542
BE,847,789.5931418063187
CZ,857,250.09945576480004
BE,858,112.22648760632092
FR,858,2775.9036542000067
FR,859,3095.7354418063196
FR,871,841.7456541999964
FR,882,2203.178841806327
FR,883,2815.808941806329
CZ,7888,237.6560688588006
PL,7888,114.96338690600192
CZ,7889,124.65606885880061
PL,7889,52.783386906001624
CZ,7912,60.10606885879952
PL,7912,114.42338690600104
CZ,7913,3.2160688588000994
PL,7913,30.393386905998568
PL,7936,93.44945576479881
CZ,8224,246.95606885879988
PL,8224,31.293386906000023
CZ,8344,157.5260688587996
PL,8344,127.78338690600162
CZ,8345,64.38945576479932
CZ,8368,44.126068858799954
PL,8368,355.2233869060003
PL,8369,46.559455764801214
CZ,8392,7.766068858799372
PL,8392,159.43338690599944
