from,to,constrained_maximum_mean
AT,CH,0.3680365296803653
AT,CZ,0.39577625570776254
AT,DE,0.08253424657534246
AT,IT,0.6719178082191781
BE,DE,0.8023972602739726
BE,FR,0.49417808219178083
BE,NL,0.4180365296803653
BE,UK,0.9162100456621004
CH,DE,0.40970319634703195
CH,FR,0.5542237442922374
CH,IT,0.5833333333333334
CZ,DE,0.1065068493150685
CZ,PL,0.8136986301369863
DE,DK,0.46906392694063925
DE,FR,0.6319634703196347
DE,NL,0.6367579908675799
DE,NO,0.9207762557077626
DE,PL,0.7315068493150685
DE,SE,0.7132420091324201
DK,NL,0.6566210045662101
DK,NO,0.6833333333333333
DK,SE,0.5642694063926941
ES,FR,0.8756849315068493
FR,IT,0.6714611872146119
FR,UK,0.9866438356164383
NL,NO,0.8885844748858448
NL,UK,0.9471461187214611
NO,SE,0.5464611872146119
PL,SE,0.8084474885844749
