zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,544.4973445870776,9006.0,-1664.2916766480985,0.06271565821090504,0.18479809867289568
BE,8040.0,3298.7118114857853,7440.0,-1712.2301790850197,0.4102875387420131,0.23013846493078222
CH,10752.0,2177.9395863311925,13608.0,-3558.3645275219073,0.20256134545491,0.26149063253394383
CZ,3840.0,1192.557387566318,4200.0,-568.0126002632604,0.31056181967872865,0.1352410953007763
DE,31236.0,5423.577416160509,26118.0,-8364.284871201744,0.1736322645716644,0.3202498227736329
DK,8184.0,1303.7762589566107,9054.0,-2781.532570111254,0.15930794953037766,0.30721587918171567
ES,3360.0,1974.7154320342831,3120.0,-953.857575610446,0.5877129262006795,0.305723581926425
FR,14772.0,3247.3006177276584,20940.0,-9673.741977797554,0.2198280948908515,0.461974306485079
IT,10854.0,4372.1170362453895,5346.0,-627.8432373099956,0.40281159353652013,0.11744168299850273
NL,10860.0,3742.9600220705165,9660.0,-2406.677729252515,0.3446556189751857,0.2491384812890802
NO,9282.0,1839.1788651255333,8922.0,-3179.030980405512,0.19814467411393377,0.3563137167009092
PL,2040.0,436.1420397819598,4680.0,-2576.781213466226,0.21379511754017638,0.5505942763816721
SE,8820.0,4596.557941245171,8628.0,-535.7748035633182,0.5211516940187269,0.062097218771826404
UK,4800.0,4498.935998869911,4800.0,-46.543815951062065,0.9372783330978981,0.00969662832313793
