from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1440.0,104.1932861701689,0.07235644872928396,0.059018264840182647,0.06244292237442922
CZ,AT,960.0,190.63442754761545,0.19857752869543274,0.08356164383561644,0.10148401826484019
DE,AT,6000.0,235.15593917438548,0.03919265652906425,0.0005707762557077625,0.0017123287671232876
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,282.0,14.513691694907292,0.051466991825912384,0.049315068493150684,0.04965753424657534
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1200.0,829.2445971965113,0.6910371643304262,0.6174657534246575,0.6316210045662101
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3960.0,1937.0325575600998,0.4891496357475,0.2613013698630137,0.291324200913242
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1680.0,514.3202818490417,0.3061430249101439,0.25787671232876713,0.26860730593607307
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1200.0,18.11437488013437,0.015095312400111976,0.011643835616438357,0.012100456621004566
AT,CH,1440.0,338.4607468788475,0.235042185332533,0.1952054794520548,0.20296803652968037
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,3240.0,1040.4151501217548,0.3211157870746157,0.24143835616438356,0.2614155251141553
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3780.0,757.9781515620339,0.20052332051905658,0.13036529680365297,0.13995433789954337
IT,CH,2292.0,41.08553776855725,0.017925627298672447,0.008105022831050229,0.008675799086757991
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,1080.0,334.1970885067276,0.30944174861734036,0.20342465753424657,0.225
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1800.0,287.2407668560136,0.15957820380889642,0.0639269406392694,0.075
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,960.0,571.1195322035765,0.5949161793787254,0.5300228310502283,0.5470319634703197
