zone,mc_el_mean_mean,mc_el_mean_std
FR,24.14487854455814,5.698664121083907
AT,34.482794475999704,8.204302557991364
BE,21.47979966986407,7.493602194367745
CH,16.32952987295141,1.4185706285493858
CZ,12.480461928255345,1.6366931031854859
DE,24.68916958138342,5.593691764521989
DK,32.33762099819899,7.34374515158861
ES,33.90200936682091,9.494552507797012
IT,57.27733736206137,28.857858377186172
PL,38.78060922732537,5.94530641191104
SE,23.302271173667112,3.1717776658192367
UK,43.972099968119586,5.6137672599082205
NO,8.082156458777781,1.5436215679551808
NL,41.00767937303162,13.811655437880749
