zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,590.5122740160697,7505,-1655.214075288493,0.08161883538577328,0.22054817791985248
BE,6700,3063.430759284097,6200,-1453.920065082361,0.45722847153493984,0.2345032363036066
CH,8960,2090.7585934148015,11340,-3467.675797943951,0.23334359301504481,0.30579151657354064
CZ,3200,1134.755627371685,3500,-484.84696425875825,0.3546111335536516,0.13852770407393092
DE,26030,5124.618612348785,21765,-7371.250057503132,0.1968735540664151,0.33867448001392747
DK,6820,1131.0154377217643,7545,-2593.496518511979,0.16583804072166633,0.34373711312286004
ES,2800,1648.732012988218,2600,-830.5781553960002,0.5888328617815064,0.3194531366907693
FR,12310,2702.4441968567457,17450,-8926.312684393284,0.21953242866423606,0.5115365435182397
IT,9045,4146.778817980819,4455,-504.2811142482089,0.45846089751031727,0.11319441397266193
NL,9050,3286.1956140582306,8050,-2143.135628073848,0.36311553746499786,0.26622802833215503
NO,7735,1647.0426779029865,7435,-2986.8121335939336,0.21293376572760006,0.40172321904424124
PL,1700,366.6238135999799,3900,-2266.2523090052255,0.21566106682351757,0.5810903356423655
SE,7350,4469.5300024595845,7190,-429.4987738423948,0.6080993200625285,0.059735573552488846
UK,4000,3775.464328666834,4000,-64.62849152903154,0.9438660821667084,0.016157122882257884
