from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,960.0,529.8735483962262,0.5519516129127356,0.5108447488584474,0.5180365296803653
CZ,AT,640.0,99.62405255400502,0.15566258211563283,0.11381278538812785,0.12100456621004566
DE,AT,4000.0,187.8008548880933,0.04695021372202333,0.008561643835616438,0.01141552511415525
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,188.0,1.060294292074224,0.005639863255713957,0.005251141552511416,0.005251141552511416
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,800.0,453.6602122669829,0.5670752653337287,0.5138127853881278,0.5243150684931507
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,2640.0,2036.0130064613136,0.7712170479020127,0.6852739726027397,0.7055936073059361
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1120.0,3.057330415725633,0.0027297592997550294,0.0,0.0
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,800.0,1.1728867449388498,0.0014661084311735622,0.0007990867579908676,0.0007990867579908676
AT,CH,960.0,178.16536216226675,0.18558891891902787,0.1660958904109589,0.16963470319634702
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2160.0,433.36426810533897,0.20063160560432358,0.15947488584474886,0.16472602739726028
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,2520.0,1840.2112888319953,0.7302425749333314,0.6996575342465754,0.7030821917808219
IT,CH,1528.0,12.419772588589604,0.008128123421851836,0.00502283105022831,0.005365296803652968
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,720.0,123.47847707236298,0.17149788482272635,0.1391552511415525,0.14531963470319634
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1200.0,144.24895146180646,0.12020745955150539,0.08561643835616438,0.09246575342465753
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,640.0,8.607627740840176,0.013449418345062775,0.0091324200913242,0.00993150684931507
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,4000.0,1005.0717130810975,0.2512679282702744,0.15639269406392695,0.17077625570776256
BE,DE,800.0,183.81129049410845,0.22976411311763556,0.18926940639269407,0.19611872146118722
CH,DE,3680.0,2379.1272963474107,0.6465019827031008,0.6124429223744292,0.6222602739726028
