zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,587.1009719884117,9006.0,-1501.6465163126618,0.06762277954254915,0.1667384539543262
BE,8040.0,3685.729700839002,7440.0,-3849.4230192760524,0.45842409214415447,0.5173955671069963
CH,10752.0,3369.833575628049,13608.0,-7083.058346722583,0.3134145810665968,0.5205069331806719
CZ,3840.0,329.35367541969936,4200.0,-1311.105635359847,0.08576918630721338,0.31216800841901116
DE,31236.0,8853.323528948686,26118.0,-8607.81522921502,0.28343333105867224,0.3295740573250257
DK,8184.0,3251.3114755122006,9054.0,-3896.478889725399,0.397276573254179,0.4303599392230394
ES,3360.0,2283.8891748366937,3120.0,-633.3525484427763,0.6797289210823493,0.20299761168037703
FR,14772.0,1463.2792035211353,20940.0,-16451.17045357153,0.09905762276747464,0.7856337370377998
IT,10854.0,9866.641610224871,5346.0,-106.47717317728326,0.9090327630573863,0.019917166699828518
NL,10860.0,8561.99874464849,9660.0,-1314.2284998272464,0.7883976744611869,0.13604849894691992
NO,9282.0,2015.3818907567338,8922.0,-3354.938547122953,0.21712797788803423,0.3760298752659665
PL,2040.0,1967.534701420803,4680.0,-70.38732425164582,0.9644777948141191,0.01504002654949697
SE,8820.0,860.3691983545102,8628.0,-3705.1244923475356,0.09754752815810773,0.429430284231286
UK,4800.0,4789.853363761482,4800.0,-0.39414050823550295,0.9978861174503088,8.211260588239645e-5
