from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,960.0,0.011962544063926835,1.2460983399923785e-5,0.0,0.0
CZ,AT,640.0,65.05956481704985,0.10165557002664038,0.054452054794520546,0.0615296803652968
DE,AT,4000.0,295.0370122601471,0.07375925306503678,0.015410958904109588,0.022488584474885845
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,188.0,0.48251567922374416,0.0025665727618284263,0.002511415525114155,0.002511415525114155
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,800.0,792.8584798009429,0.9910730997511785,0.9894977168949771,0.9897260273972602
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,2640.0,75.57065402742869,0.028625247737662382,0.012785388127853882,0.01449771689497717
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1120.0,994.6216602023363,0.888055053752086,0.8538812785388128,0.8610730593607306
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,800.0,523.8910553361353,0.6548638191701691,0.6215753424657534,0.6273972602739726
AT,CH,960.0,928.8646881355479,0.9675673834745291,0.9624429223744292,0.9631278538812785
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2160.0,2090.8345697509253,0.9679789674772802,0.9590182648401826,0.96175799086758
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,2520.0,3.587966785071338,0.001423796343282277,0.00011415525114155251,0.00022831050228310502
IT,CH,1528.0,12.231462294908301,0.008004883700856218,0.004223744292237443,0.004908675799086758
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,720.0,212.99471052127822,0.29582598683510863,0.22614155251141552,0.23892694063926942
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1200.0,575.571146660397,0.47964262221699744,0.30901826484018263,0.3418949771689498
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,640.0,440.48562623245857,0.6882587909882165,0.6839041095890411,0.6843607305936074
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,4000.0,283.4422108965788,0.0708605527241447,0.025342465753424658,0.03093607305936073
BE,DE,800.0,0.3124685461626908,0.0003905856827033635,0.00022831050228310502,0.00034246575342465754
CH,DE,3680.0,1.6048962954920099,0.0004361131237750027,0.00011415525114155251,0.00022831050228310502
CZ,DE,1680.0,102.45047450544972,0.060982425300862925,0.023972602739726026,0.029337899543378995
DK,DE,2212.0,3.3959079128538807,0.00153522057543123,0.00045662100456621003,0.00045662100456621003
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1440.0,0.004628468103306113,3.214213960629245e-6,0.0,0.0
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,3400.0,0.0,0.0,0.0,0.0
NO,DE,1120.0,6.050999719264428,0.00540267832077181,0.00410958904109589,0.0043378995433789955
PL,DE,2000.0,1379.2700890863593,0.6896350445431797,0.6819634703196347,0.683675799086758
SE,DE,492.0,0.7809537322945206,0.0015873043339319525,0.0014840182648401827,0.0014840182648401827
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2000.0,1040.1296241296475,0.5200648120648237,0.28618721461187213,0.3315068493150685
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,560.0,3.9908844388670657,0.00712657935511976,0.00410958904109589,0.0046803652968036525
NO,DK,1312.0,115.15364216810347,0.08776954433544472,0.05924657534246575,0.0636986301369863
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1584.0,3.7089844045838527,0.002341530558449402,0.001141552511415525,0.0013698630136986301
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2240.0,0.5114155251141552,0.00022831050228310502,0.00022831050228310502,0.00022831050228310502
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1440.0,989.5396099673163,0.6871802846995252,0.6230593607305936,0.6341324200913242
CH,FR,1040.0,1003.7075002648511,0.9651033656392799,0.9584474885844749,0.959931506849315
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,1840.0,1806.1993734637128,0.981630094273757,0.979337899543379,0.9797945205479452
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2080.0,2044.5329481833205,0.9829485327804426,0.9792237442922375,0.9800228310502284
IT,FR,1848.0,1748.6792622421196,0.946255012035779,0.936986301369863,0.9388127853881278
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
SE,FR,0.0,0.0,0.0,0.0,0.0
UK,FR,1600.0,1362.357318692616,0.851473324182885,0.8462328767123287,0.8472602739726027
AT,IT,324.0,314.99724566231964,0.9722137211799989,0.971689497716895,0.971689497716895
BE,IT,0.0,0.0,0.0,0.0,0.0
CH,IT,3392.0,2900.7585879052363,0.8551764704909305,0.7525114155251141,0.7949771689497717
CZ,IT,0.0,0.0,0.0,0.0,0.0
DE,IT,0.0,0.0,0.0,0.0,0.0
DK,IT,0.0,0.0,0.0,0.0,0.0
ES,IT,0.0,0.0,0.0,0.0,0.0
FR,IT,3520.0,57.48633519277406,0.016331345225219902,0.007077625570776256,0.008789954337899543
NL,IT,0.0,0.0,0.0,0.0,0.0
NO,IT,0.0,0.0,0.0,0.0,0.0
PL,IT,0.0,0.0,0.0,0.0,0.0
SE,IT,0.0,0.0,0.0,0.0,0.0
UK,IT,0.0,0.0,0.0,0.0,0.0
AT,NL,0.0,0.0,0.0,0.0,0.0
BE,NL,1920.0,100.43711098995738,0.052310995307269466,0.03755707762557078,0.04052511415525114
CH,NL,0.0,0.0,0.0,0.0,0.0
CZ,NL,0.0,0.0,0.0,0.0,0.0
DE,NL,3400.0,3321.054846793953,0.9767808372923391,0.8877853881278539,0.9242009132420091
DK,NL,560.0,475.35933942249324,0.8488559632544522,0.7897260273972603,0.8027397260273973
ES,NL,0.0,0.0,0.0,0.0,0.0
FR,NL,0.0,0.0,0.0,0.0,0.0
IT,NL,0.0,0.0,0.0,0.0,0.0
NO,NL,560.0,346.96303723375587,0.6195768522031355,0.5679223744292238,0.5768264840182649
PL,NL,0.0,0.0,0.0,0.0,0.0
SE,NL,0.0,0.0,0.0,0.0,0.0
UK,NL,800.0,0.0,0.0,0.0,0.0
AT,NO,0.0,0.0,0.0,0.0,0.0
BE,NO,0.0,0.0,0.0,0.0,0.0
CH,NO,0.0,0.0,0.0,0.0,0.0
CZ,NO,0.0,0.0,0.0,0.0,0.0
DE,NO,1120.0,897.1442051027406,0.8010216116988755,0.7920091324200913,0.7945205479452054
DK,NO,1312.0,505.9354434046482,0.38562152698525015,0.31643835616438354,0.3259132420091324
ES,NO,0.0,0.0,0.0,0.0,0.0
FR,NO,0.0,0.0,0.0,0.0,0.0
IT,NO,0.0,0.0,0.0,0.0,0.0
NL,NO,560.0,83.55631303321334,0.14920770184502383,0.1386986301369863,0.1408675799086758
PL,NO,0.0,0.0,0.0,0.0,0.0
SE,NO,3196.0,131.90082732865298,0.04127059678618679,0.013356164383561644,0.018949771689497717
UK,NO,0.0,0.0,0.0,0.0,0.0
AT,PL,0.0,0.0,0.0,0.0,0.0
BE,PL,0.0,0.0,0.0,0.0,0.0
CH,PL,0.0,0.0,0.0,0.0,0.0
CZ,PL,480.0,142.47903796962368,0.29683132910338267,0.2925799086757991,0.29315068493150687
DE,PL,400.0,118.71425794218666,0.29678564485546666,0.2947488584474886,0.29531963470319633
DK,PL,0.0,0.0,0.0,0.0,0.0
ES,PL,0.0,0.0,0.0,0.0,0.0
FR,PL,0.0,0.0,0.0,0.0,0.0
IT,PL,0.0,0.0,0.0,0.0,0.0
NL,PL,0.0,0.0,0.0,0.0,0.0
NO,PL,0.0,0.0,0.0,0.0,0.0
SE,PL,480.0,2.1572278762671235,0.004494224742223174,0.003538812785388128,0.003538812785388128
UK,PL,0.0,0.0,0.0,0.0,0.0
AT,SE,0.0,0.0,0.0,0.0,0.0
BE,SE,0.0,0.0,0.0,0.0,0.0
CH,SE,0.0,0.0,0.0,0.0,0.0
