zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,8682.0,1075.304801777068,9006.0,-2420.878147786103,0.12385450377529002,0.2688072560277707
BE,8040.0,3482.5642854349717,7440.0,-2147.5521354285306,0.43315476187002133,0.2886494805683509
CH,10752.0,4396.9072489750715,13608.0,-5243.607999976679,0.40893854622163983,0.3853327454421428
CZ,3840.0,1406.138886299995,4200.0,-433.5433495288126,0.3661820016406237,0.10322460703066967
DE,31236.0,2783.4723468718626,26118.0,-16405.415258862515,0.0891110368444059,0.6281267807206722
DK,8184.0,1495.8945915868755,9054.0,-3309.0925102600113,0.18278281910885577,0.36548404133642715
ES,3360.0,1.2670888908579114,3120.0,-3026.516758605946,0.000377109788945807,0.970037422630111
FR,14772.0,13277.51197666167,20940.0,-676.762525785432,0.8988296761888485,0.032319127305894556
IT,10854.0,4339.165945863042,5346.0,-2559.523417176337,0.3997757458875108,0.4787735535309272
NL,10860.0,5966.446145100611,9660.0,-2850.3179033368624,0.5493965142818242,0.2950639651487435
NO,9282.0,1920.0417341915763,8922.0,-3259.360805269471,0.2068564678077544,0.36531728371099204
PL,2040.0,372.19749688117423,4680.0,-3501.4678503914465,0.18244975337312463,0.7481768911092834
SE,8820.0,6178.998132008799,8628.0,-249.58171945059,0.7005666816336507,0.028926949403174546
UK,4800.0,1981.7489331510403,4800.0,-2594.03923183588,0.4128643610731334,0.5404248399658084
