zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,1668.1684977723733,7505,-5332.050743241991,0.23056924640945034,0.710466454795735
BE,6700,2891.496128976145,6200,-2473.1598992086015,0.43156658641435,0.3988967579368712
CH,8960,3647.19377386386,11340,-4308.647645023365,0.40705287654730576,0.3799512914482685
CZ,3200,2031.1308371698424,3500,-983.7793543683624,0.6347283866155757,0.28107981553381783
DE,26030,10675.652136748959,21765,-11390.480809515195,0.4101287797444855,0.5233393434190303
DK,6820,2960.7657536228216,7545,-4241.994649989651,0.4341298758977744,0.562225931078814
ES,2800,12.635210274712438,2600,-2585.182398044904,0.004512575098111585,0.994300922324963
FR,12310,11563.409315756378,17450,-820.4086776619278,0.9393508786154654,0.04701482393478096
IT,9045,826.7487531702354,4455,-3938.931173483976,0.0914039528104185,0.8841596349010048
NL,9050,2471.815546543181,8050,-5683.724813226126,0.2731287896732797,0.7060527718293323
NO,7735,2831.0587694911237,7435,-4613.60906769917,0.3660063050408693,0.6205257656622959
PL,1700,1692.3870015582193,3900,-6.4118248860187785,0.995521765622482,0.0016440576630817382
SE,7350,5870.54698820905,7190,-1412.9260912961943,0.7987138759468095,0.19651266916497834
UK,4000,1305.12714418199,4000,-2656.8287096934105,0.32628178604549746,0.6642071774233527
