from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,404.8632101292761,0.3373860084410634,0.27865296803652967,0.28926940639269405
CZ,AT,800,106.87492079080563,0.13359365098850703,0.08059360730593608,0.0886986301369863
DE,AT,5000,976.3536293555185,0.1952707258711037,0.10342465753424658,0.11894977168949772
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,180.07673749677284,0.7662839893479695,0.7656392694063927,0.7659817351598174
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,859.7426313715031,0.8597426313715031,0.8134703196347032,0.8227168949771689
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,221.22126802415517,0.06703674788610763,0.05331050228310502,0.05468036529680365
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,1132.603619070389,0.8090025850502778,0.7808219178082192,0.788013698630137
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,677.9286105100982,0.6779286105100982,0.6582191780821918,0.6638127853881278
AT,CH,1200,782.7754423914018,0.6523128686595016,0.6103881278538813,0.6170091324200914
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,1222.8660530400234,0.45291335297778645,0.38344748858447486,0.39486301369863014
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,88.6558025137179,0.028144699210704095,0.020776255707762557,0.02134703196347032
IT,CH,1910,1552.8964759187181,0.8130348041459258,0.790068493150685,0.7938356164383562
NL,CH,0,0.0,0.0,0.0,0.0
NO,CH,0,0.0,0.0,0.0,0.0
PL,CH,0,0.0,0.0,0.0,0.0
SE,CH,0,0.0,0.0,0.0,0.0
UK,CH,0,0.0,0.0,0.0,0.0
AT,CZ,900,755.6863219468228,0.8396514688298031,0.7853881278538812,0.7949771689497717
BE,CZ,0,0.0,0.0,0.0,0.0
CH,CZ,0,0.0,0.0,0.0,0.0
DE,CZ,1500,1273.3990936646248,0.8489327291097499,0.7993150684931507,0.8106164383561644
DK,CZ,0,0.0,0.0,0.0,0.0
ES,CZ,0,0.0,0.0,0.0,0.0
FR,CZ,0,0.0,0.0,0.0,0.0
IT,CZ,0,0.0,0.0,0.0,0.0
NL,CZ,0,0.0,0.0,0.0,0.0
NO,CZ,0,0.0,0.0,0.0,0.0
PL,CZ,800,2.045421558393208,0.0025567769479915097,0.002511415525114155,0.002511415525114155
SE,CZ,0,0.0,0.0,0.0,0.0
UK,CZ,0,0.0,0.0,0.0,0.0
AT,DE,5000,3707.3487383235756,0.7414697476647151,0.6350456621004567,0.6552511415525114
BE,DE,1000,139.17360254872932,0.13917360254872932,0.09965753424657534,0.10719178082191781
CH,DE,4600,2051.650365598973,0.44601094904325506,0.3626712328767123,0.3670091324200913
CZ,DE,2100,280.5345705638579,0.13358789074469424,0.06529680365296804,0.06655251141552511
DK,DE,2765,892.3071722905366,0.32271507135281613,0.20901826484018265,0.21666666666666667
ES,DE,0,0.0,0.0,0.0,0.0
FR,DE,1800,20.17844237087995,0.011210245761599971,0.010159817351598174,0.010502283105022832
IT,DE,0,0.0,0.0,0.0,0.0
NL,DE,4250,2935.8205745876903,0.6907813116676919,0.6002283105022831,0.6263698630136987
NO,DE,1400,526.7790787980715,0.3762707705700511,0.3670091324200913,0.3702054794520548
PL,DE,2500,2.2831050228310503,0.0009132420091324202,0.0009132420091324201,0.0009132420091324201
SE,DE,615,119.57648664381225,0.19443331161595487,0.1889269406392694,0.19029680365296803
UK,DE,0,0.0,0.0,0.0,0.0
AT,DK,0,0.0,0.0,0.0,0.0
BE,DK,0,0.0,0.0,0.0,0.0
CH,DK,0,0.0,0.0,0.0,0.0
CZ,DK,0,0.0,0.0,0.0,0.0
DE,DK,2500,1616.7609738964677,0.6467043895585871,0.5121004566210046,0.5447488584474885
ES,DK,0,0.0,0.0,0.0,0.0
FR,DK,0,0.0,0.0,0.0,0.0
IT,DK,0,0.0,0.0,0.0,0.0
NL,DK,700,445.81189545006976,0.6368741363572425,0.6079908675799087,0.613013698630137
NO,DK,1640,655.5079521552371,0.3996999708263641,0.36335616438356166,0.3687214611872146
PL,DK,0,0.0,0.0,0.0,0.0
SE,DK,1980,242.68493212104815,0.12256814753588291,0.08242009132420092,0.0884703196347032
UK,DK,0,0.0,0.0,0.0,0.0
AT,ES,0,0.0,0.0,0.0,0.0
BE,ES,0,0.0,0.0,0.0,0.0
CH,ES,0,0.0,0.0,0.0,0.0
CZ,ES,0,0.0,0.0,0.0,0.0
DE,ES,0,0.0,0.0,0.0,0.0
DK,ES,0,0.0,0.0,0.0,0.0
FR,ES,2800,12.635210274712438,0.004512575098111585,0.0043378995433789955,0.0043378995433789955
IT,ES,0,0.0,0.0,0.0,0.0
NL,ES,0,0.0,0.0,0.0,0.0
NO,ES,0,0.0,0.0,0.0,0.0
PL,ES,0,0.0,0.0,0.0,0.0
SE,ES,0,0.0,0.0,0.0,0.0
UK,ES,0,0.0,0.0,0.0,0.0
AT,FR,0,0.0,0.0,0.0,0.0
BE,FR,1800,1623.325378355893,0.9018474324199406,0.8877853881278539,0.8914383561643836
CH,FR,1300,1250.9909965680006,0.9623007665907697,0.958675799086758,0.9592465753424657
CZ,FR,0,0.0,0.0,0.0,0.0
DE,FR,2300,2272.8154502815833,0.9881806305572101,0.9868721461187214,0.986986301369863
DK,FR,0,0.0,0.0,0.0,0.0
ES,FR,2600,2585.1823980449035,0.9943009223249629,0.9937214611872146,0.9938356164383562
IT,FR,2310,2205.957960068486,0.9549601558738035,0.9471461187214611,0.9488584474885845
NL,FR,0,0.0,0.0,0.0,0.0
NO,FR,0,0.0,0.0,0.0,0.0
PL,FR,0,0.0,0.0,0.0,0.0
SE,FR,0,0.0,0.0,0.0,0.0
UK,FR,2000,1625.1371324375118,0.812568566218756,0.8062785388127854,0.8071917808219178
AT,IT,405,86.24024058019089,0.21293886563010095,0.2117579908675799,0.21187214611872146
