zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,735.5597437555261,6004.0,-1876.1468674604541,0.12708357701373982,0.3124828226949457
BE,5360.0,2274.675984681663,4960.0,-1228.9071182480598,0.42437984788836997,0.24776353190485076
CH,7168.0,1664.461845175676,9072.0,-2487.183433080263,0.2322072886684816,0.2741604313360078
CZ,2560.0,1373.3424782711231,2800.0,-299.132620092969,0.5364619055746574,0.10683307860463177
DE,20824.0,4144.780325387255,17412.0,-7929.430250313297,0.19903862492255356,0.45540031302052014
DK,5456.0,1037.00085637064,6036.0,-2807.650581727632,0.19006613936412023,0.4651508584704493
ES,2240.0,0.9432249999999998,2080.0,-2002.309880016426,0.00042108258928571417,0.9626489807771279
FR,9848.0,8627.186100084033,13960.0,-446.5890932639731,0.8760343318525622,0.031990622726645636
IT,7236.0,660.6695733731991,3564.0,-2003.5443621519562,0.09130314723233819,0.5621617177755208
NL,7240.0,1685.8941242907401,6440.0,-3242.3051548929675,0.232858304460047,0.5034635333684732
NO,6188.0,1372.0157791675392,5948.0,-2937.55719012895,0.22172200697600827,0.49387309854219064
PL,1360.0,512.3529893813783,3120.0,-1014.2181241435379,0.37673013925101345,0.3250699115844673
SE,5880.0,4962.424819746526,5752.0,-242.9023745741257,0.8439497992766201,0.04222920281191337
UK,3200.0,1286.3856555581965,3200.0,-1819.8164501488814,0.4019955173619364,0.5686926406715255
