from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1440.0,100.52801998621881,0.06981112499042973,0.06506849315068493,0.06621004566210045
CZ,AT,960.0,55.852396308821085,0.058179579488355296,0.02408675799086758,0.028310502283105023
DE,AT,6000.0,287.71616939907847,0.04795269489984641,0.0013698630136986301,0.0027397260273972603
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,282.0,82.64618800733363,0.2930715886784881,0.29075342465753423,0.2908675799086758
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1200.0,1188.2265715908802,0.9901888096590669,0.9865296803652968,0.9877853881278539
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3960.0,130.8571255469076,0.03304472867346152,0.010844748858447488,0.013242009132420091
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1680.0,1470.8927198158704,0.8755313808427799,0.8251141552511415,0.8358447488584475
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1200.0,658.8569033028008,0.5490474194190007,0.48595890410958903,0.4986301369863014
AT,CH,1440.0,559.0894176775709,0.38825654005386867,0.3449771689497717,0.3512557077625571
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,3240.0,1553.3143669288288,0.4794180144842064,0.4230593607305936,0.4382420091324201
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3780.0,0.9708712202674996,0.0002568442381660052,0.0,0.0
IT,CH,2292.0,192.54720906352134,0.08400838091776673,0.06267123287671234,0.06461187214611872
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,1080.0,425.00617358594076,0.393524234801797,0.3192922374429224,0.3333333333333333
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1800.0,690.0180039664402,0.38334333553691124,0.19531963470319635,0.22876712328767124
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,960.0,256.4650950940586,0.2671511407229777,0.15114155251141553,0.1728310502283105
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,6000.0,819.7626151751467,0.1366271025291911,0.05034246575342466,0.0636986301369863
BE,DE,1200.0,0.1239181484686022,0.00010326512372383517,0.0,0.00011415525114155251
CH,DE,5520.0,793.233110686988,0.1437016504867732,0.11860730593607306,0.1228310502283105
CZ,DE,2520.0,141.96042817264743,0.05633350324311406,0.016894977168949773,0.021118721461187213
DK,DE,3318.0,399.26472000480464,0.1203329475602184,0.04954337899543379,0.06255707762557078
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,2160.0,0.1504500089783099,6.965278193440273e-5,0.0,0.0
