zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,5788.0,239.87557454808805,6004.0,-4008.7600759446086,0.04144360306635937,0.6676815582852446
BE,5360.0,2074.8385711733686,4960.0,-1281.6880421742205,0.3870967483532404,0.2584048472125445
CH,7168.0,2258.0309493559557,9072.0,-3092.457890012665,0.3150154784257751,0.3408793970472514
CZ,2560.0,1389.6230057594103,2800.0,-419.3310595886601,0.5428214866247696,0.14976109271023574
DE,20824.0,7402.41891139767,17412.0,-6506.272200385459,0.35547536070868563,0.37366598899525955
DK,5456.0,1423.566493468856,6036.0,-2715.9023473290686,0.26091761243930645,0.44995068709891795
ES,2240.0,0.8781618646250348,2080.0,-2018.2358131010935,0.0003920365467076048,0.9703056793755257
FR,9848.0,8575.623143764353,13960.0,-360.3721452729569,0.8707984508290366,0.02581462358688803
IT,7236.0,463.2574933052918,3564.0,-3062.463857868469,0.06402121245236204,0.8592771767307713
NL,7240.0,1236.715309513035,6440.0,-4380.76706040043,0.17081703170069543,0.6802433323603152
NO,6188.0,1694.4135795019017,5948.0,-3483.445531292044,0.27382249183935065,0.5856498875743181
PL,1360.0,1092.1529754699172,3120.0,-0.9280159596751144,0.8030536584337626,0.0002974410127163828
SE,5880.0,4905.890741039147,5752.0,-504.38891293792824,0.8343351600406712,0.0876893103160515
UK,3200.0,979.4508440092023,3200.0,-1901.7228019035413,0.30607838875287574,0.5942883755948567
