zone,mc_el_maximum_mean,mc_el_maximum_std
FR,787.1043426530181,377.7196033014757
AT,99.91285700144526,30.959590753688154
BE,246.26971352240687,306.5850410938628
CZ,93.26072307853431,267.5939503388118
DE,154.75385443971965,176.1798546640378
DK,108.97573360355227,55.558133628541576
ES,81.64088122184651,29.587526897784926
IT,83.09418294486211,16.486782802631645
NO,87.70693917001259,1.2591536567982206e-11
PL,986.9063477233212,108.83329986220404
SE,151.81762450254817,146.53587749970865
UK,153.23680936701894,180.24607386908588
CH,23.949191520119072,0.7460462668992247
NL,86.79552429157806,33.93305089430586
