from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1440.0,2.397248528190844,0.0016647559223547529,0.00045662100456621003,0.0005707762557077625
CZ,AT,960.0,11.665963835254116,0.012152045661723038,0.005707762557077625,0.006506849315068493
DE,AT,6000.0,86.84489663659471,0.014474149439432453,0.0006849315068493151,0.0015981735159817352
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,282.0,216.91424671301485,0.7691994564291307,0.7682648401826484,0.76837899543379
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1200.0,856.6537913286996,0.7138781594405831,0.630593607305936,0.6468036529680365
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3960.0,129.58515208186537,0.03272352325299631,0.01004566210045662,0.012100456621004566
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1680.0,1294.8171665555833,0.7707245039021329,0.7126712328767123,0.7288812785388128
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1200.0,750.115099249601,0.6250959160413342,0.5893835616438357,0.597716894977169
AT,CH,1440.0,434.1692634284479,0.30150643293642215,0.24805936073059362,0.2582191780821918
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,3240.0,590.8802992336086,0.18237046272642243,0.12865296803652967,0.1339041095890411
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3780.0,4.433593252709176,0.0011729082679124805,0.0,0.0
IT,CH,2292.0,1794.1532393159268,0.7827893714292875,0.7735159817351598,0.7751141552511416
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,1080.0,846.5684101948345,0.7838596390692912,0.7035388127853881,0.7228310502283105
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1800.0,908.9314066737679,0.5049618925965378,0.23047945205479453,0.2827625570776256
DK,CZ,0.0,0.0,0.0,0.0,0.0
