time;AT;BE;BG;CH;CZ;DE;DK;EE;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;ME;MK;NL;NO;PL;PT;RO;RS;SE;SI;SK;UK
01.01.2015 00:00;5963.5;9551.83;4773;7633;6063.72;43454.8975;3210.98;792.5;24382;8892.9;70929;1948;4069.1825;2867.855;23126;1145;403.75;678;483.01;1146;9456;15470.78;14727.41;5340.5;6228;5726;14726;1086.87;2860;27801
01.01.2015 01:00;5726;9152.0225;4585;7653.58;5957.57;41963.2575;3100.02;764.7;22734;8735.4;69773;1812;3754.9225;2677.97;21534;1145;383.25;645;452.52;1146;8956.75;15104.99;13979.46;5123.9;6228;5726;14485;1045.47;2728;27948
01.01.2015 02:00;5346.8;8798.7025;4440;7396.99;5878.87;40617.7775;2980.39;749.8;21286;8626.4;66417;1712;3510.39;2432.23;20219;1145;370;629;416.46;1146;8461.5;14882.56;13453.78;4771.1;6228;5726;14298;1004.79;2626;25210
01.01.2015 03:00;5249;8567.1;4418;7340.43;5827.8;39936.6025;2933.49;746.5;20264;8674.1;64182;1646;3426.685;2275.79;19470;1145;363.75;631;399.46;1146;8156;14755.09;13306;4443.5;6228;5726;14249;983.79;2618;23693
01.01.2015 04:00;5308.7;8487.4375;4393;7015.01;5730.89;39272.4625;2941.54;754.6;19905;8845.3;63859;1657;3437.5075;2173.225;19485;1145;353.75;644;393.89;1146;8126;14903.03;13175.58;4234.9;6228;5726;14268;998.67;2626;22476
01.01.2015 05:00;5574.5;8428.375;4441;7058.76;5668.53;37850.31;2999.89;771.2;20010;8877;63921;1683;3496.5725;2135.705;20349;1145;299.5;652;393.52;1146;8291.75;15130.74;13165.11;4118.2;6228;5726;14655;1045.17;2641;21791.5
01.01.2015 06:00;5925.3;8122.4825;4637;6857.21;5600.76;38098.5625;3176.8;788.5;20377;9043.7;64117;1665;3545.6275;2166.11;20715;1145;307.5;655;401.68;1146;8638.25;15414.52;13029.75;4073.8;6228;5726;14994;1085.06;2622;21433.5
01.01.2015 07:00;6343;8179.4075;4834;6635.97;5651.05;38792.4975;3292.27;790.7;20094;8994.2;63861;1778;3670.9425;2214.915;21092;1145;302;657;433.4;1146;8927.25;15567.09;12945.35;3920.8;6228;5726;15163;1142.36;2691;22502
01.01.2015 08:00;6881.9;8339.655;4983;6582.99;6114.63;41406.395;3378.64;827.5;20637;9074.1;64277;1951;3876.935;2237.42;22776;1145;299.75;688;468.63;1146;9312.5;15852.32;13454.68;3883.8;6228;5726;15167;1206.03;2794;23784.5
01.01.2015 09:00;6962.9;8677.44;5020;6838.18;6481.25;44266.3725;3562.9;861.8;22250;9205.4;65100;2113;4066.3175;2311.435;24243;1145;314.25;719;490.08;1146;9933.25;16041.44;14094.53;4234.7;6228;5726;15670;1257.98;2932;25873.5
01.01.2015 10:00;7109.9;8898.695;5000;6865.17;6608.71;47205.915;3736.05;880.8;23547;9306.8;65875;2190;4221.1325;2585.81;25601;1145;345.25;742;503.64;1146;10432;16262.85;14717.89;4633.4;6228;5726;16133;1293.85;2998;27931.5
01.01.2015 11:00;7135.8;9092.48;4891;6613.93;6694.39;48502.525;3837.81;892.1;24133;9337.8;67460;2168;4284.9825;2864.77;25790;1145;357.25;741;511.77;1146;11918.89;16628.18;15188.36;4989.1;6228;5726;16178;1284.23;2931;29861.5
01.01.2015 12:00;7013.2;9087.9025;4760;7141.23;6754.3;47527.7;3878.28;898.3;24713;9456;65706;2056;4219.5125;3116.725;24249;1145;350;750;501.52;1146;11951.2875;16826.51;15637.26;5165.2;6228;5726;16274;1275.05;2982;32144
01.01.2015 13:00;6735;8940.2075;4838;7073.85;6864.21;46771.725;3856.4;931;24672;9830.5;62688;1976;4232.3725;3235.25;23416;1145;345;772;493.32;1146;12067.445;16894.94;15698.79;4934.6;6228;5726;16531;1244.09;2976;33220
01.01.2015 14:00;6542.9;8919.4525;5072;7117.92;6932.59;46733.4975;3985.15;996.1;23528;10159;60798;1961;4279.4475;3154.835;23716;1145;345;836;493.07;1146;11828.9725;17203.71;15882.16;4685.4;6228;5726;17087;1248.31;2960;33229
01.01.2015 15:00;6603.2;9016.7475;5573;7110.41;7085.23;49116.87;4262.07;999.1;23118;10188;61111;2116;4585.0525;3121.465;25405;1145;353;865;522.24;1146;12086.8775;17483.48;17216.19;4634.8;6228;5726;17514;1139.15;3069;33526
01.01.2015 16:00;6734.8;9664.275;5816;7357.85;7204.97;53624.265;4495.76;992.1;23606;10206;65620;2330;4667.185;3229.24;29787;1145;396.25;863;550.71;1146;12683.1125;17221.79;17645.91;4685.5;6228;5726;17627;1226.31;3156;35139.5
01.01.2015 17:00;6626;9914.2925;5764;7656.17;7164.21;54305.195;4491.8;976.4;26447;10184;69967;2360;4632.8675;3490.245;30946;1145;411;856;554.2;1146;12299.39;17014.37;17543.6;5295;6228;5726;17432;1239.9;3142;37156.5
01.01.2015 18:00;6738.5;9852.0525;5667;7774.49;7008.47;53634.425;4290.82;956.3;28020;10023;71682;2377;4608.4325;3479.27;31359;1145;395.75;843;556.38;1146;11716.4125;16826.73;17552.65;6025.2;6228;5726;16874;1252.01;3131;36739
01.01.2015 19:00;6654.1;9573.3875;5486;7678.1;6931.78;51435.755;4047.51;931.3;29014;9746.8;70462;2360;4513.4425;3366.795;30611;1145;377.25;817;556.17;1146;11364.7175;16535.64;17264.15;6235.6;6228;5726;16457;1401.98;3108;35609.5
01.01.2015 20:00;6255;9421.7175;5442;7444.15;6586.66;50091.795;3857.01;884.6;29571;9996.2;68173;2414;4384.3075;3221.935;29168;1145;359;763;537.65;1146;10878.205;16274.93;16559.75;6307.9;6228;5726;15887;1327.48;3021;33676.5
01.01.2015 21:00;6221.4;9896.2075;5196;7338.22;6369.96;50165.165;3588.33;839.6;29031;9829.9;69188;2314;4206.07;3093.835;26859;1145;429;710;518.19;1146;10563.44;15769.52;15860.24;6197.8;6228;5726;15251;1213.75;2919;31327.5
01.01.2015 22:00;5864.2;10061.7425;4811;7428.85;6078.25;47478.27;3412.59;784.7;26798;9366;70135;2062;4002.0925;2917.18;24116;1010;417.25;653;501.66;1146;9823.55;15194.49;14705.78;5997.7;6228;5726;14791;1129.61;2791;29940.5
