from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,661.1509737535026,0.5509591447945855,0.4986301369863014,0.5094748858447489
CZ,AT,800,387.35325591889193,0.4841915698986149,0.4537671232876712,0.46050228310502284
DE,AT,5000,3159.5184632764017,0.6319036926552803,0.4004566210045662,0.44988584474885845
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,0.3104596689520546,0.0013211049742640622,0.0012557077625570776,0.0012557077625570776
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,727.2982388975032,0.7272982388975032,0.6356164383561644,0.6567351598173516
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,3144.2591935953124,0.9528058162410037,0.9207762557077626,0.9279680365296804
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,223.1178113938599,0.15936986528132852,0.07579908675799087,0.09212328767123287
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,5.648165990811063,0.005648165990811063,0.0028538812785388126,0.0030821917808219177
AT,CH,1200,524.0529213783153,0.43671076781526275,0.40570776255707763,0.4124429223744292
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,1032.299730127761,0.3823332333806522,0.28527397260273973,0.304337899543379
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,2539.6599663661746,0.8062412591638649,0.7646118721461187,0.7688356164383562
IT,CH,1910,2.103619480390409,0.0011013714557017848,0.0,0.00034246575342465754
NL,CH,0,0.0,0.0,0.0,0.0
