zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,4208.333152617755,7505,-3274.0571182907343,0.5816631862636842,0.4362501156949679
BE,6700,4100.323409877485,6200,-3089.8014814850717,0.6119885686384305,0.49835507765888254
CH,8960,4098.116237352642,11340,-6930.41745954999,0.4573790443473931,0.611147924122574
CZ,3200,1164.250668320628,3500,-1905.096920891012,0.36382833385019625,0.5443134059688606
DE,26030,10320.246447410605,21765,-12096.116206052318,0.3964750844183867,0.5557599910890108
DK,6820,3597.117530477715,7545,-3440.164073612416,0.5274365880465858,0.45595282619117505
ES,2800,2701.371802393598,2600,-87.344741468239,0.9647756437119993,0.03359413133393807
FR,12310,705.6552726117748,17450,-16267.19107636215,0.05732374269795083,0.9322172536597221
IT,9045,9031.497360196088,4455,-5.847426028100409,0.9985071708342829,0.0013125535416611466
NL,9050,7043.030416110362,8050,-1603.7758725676558,0.7782354050950676,0.19922681646803178
NO,7735,3441.8810286406874,7435,-4082.3147377334417,0.4449749229011878,0.5490672142210412
PL,1700,1347.5858811510973,3900,-1021.3185252141811,0.7926975771477043,0.26187654492671314
SE,7350,2572.3149176952247,7190,-4489.340344326357,0.3499748187340442,0.6243866960120107
UK,4000,3981.2119590040024,4000,-20.150100277998504,0.9953029897510006,0.005037525069499626
