from,to,constrained_maximum_mean
AT,CH,0.36746575342465754
AT,CZ,0.3188356164383562
AT,DE,0.03276255707762557
AT,IT,0.9945205479452055
BE,DE,0.43447488584474886
BE,FR,0.8542237442922375
BE,NL,0.30947488584474886
BE,UK,0.9852739726027397
CH,DE,0.2787671232876712
CH,FR,0.8065068493150684
CH,IT,0.9899543378995433
CZ,DE,0.011757990867579908
CZ,PL,0.8124429223744293
DE,DK,0.30011415525114155
DE,FR,0.828310502283105
DE,NL,0.7339041095890411
DE,NO,0.8286529680365297
DE,PL,0.8648401826484018
DE,SE,0.9039954337899543
DK,NL,0.8696347031963471
DK,NO,0.6375570776255708
DK,SE,0.44988584474885845
ES,FR,0.8659817351598174
FR,IT,0.994406392694064
FR,UK,0.9974885844748859
NL,NO,0.8816210045662101
NL,UK,0.9674657534246576
NO,SE,0.23767123287671232
PL,SE,0.9730593607305936
