from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0.0,0.0,0.0,0.0,0.0
CH,AT,1200.0,494.5493157371448,0.412124429780954,0.35114155251141554,0.3626712328767123
CZ,AT,800.0,379.0515867487102,0.4738144834358877,0.3134703196347032,0.34714611872146117
DE,AT,5000.0,987.2765040972164,0.1974553008194433,0.00410958904109589,0.007534246575342466
DK,AT,0.0,0.0,0.0,0.0,0.0
ES,AT,0.0,0.0,0.0,0.0,0.0
FR,AT,0.0,0.0,0.0,0.0,0.0
IT,AT,235.0,0.05365296803652968,0.00022831050228310502,0.00022831050228310502,0.00022831050228310502
NL,AT,0.0,0.0,0.0,0.0,0.0
NO,AT,0.0,0.0,0.0,0.0,0.0
PL,AT,0.0,0.0,0.0,0.0,0.0
SE,AT,0.0,0.0,0.0,0.0,0.0
UK,AT,0.0,0.0,0.0,0.0,0.0
AT,BE,0.0,0.0,0.0,0.0,0.0
CH,BE,0.0,0.0,0.0,0.0,0.0
CZ,BE,0.0,0.0,0.0,0.0,0.0
DE,BE,1000.0,539.0403934154392,0.5390403934154392,0.4220319634703196,0.4448630136986301
DK,BE,0.0,0.0,0.0,0.0,0.0
ES,BE,0.0,0.0,0.0,0.0,0.0
FR,BE,3300.0,3096.8818465444156,0.9384490444073986,0.8660958904109589,0.8861872146118721
IT,BE,0.0,0.0,0.0,0.0,0.0
NL,BE,1400.0,20.844223377315764,0.014888730983796974,0.004908675799086758,0.006392694063926941
NO,BE,0.0,0.0,0.0,0.0,0.0
PL,BE,0.0,0.0,0.0,0.0,0.0
SE,BE,0.0,0.0,0.0,0.0,0.0
UK,BE,1000.0,0.5728114414400118,0.0005728114414400118,0.00045662100456621003,0.00045662100456621003
AT,CH,1200.0,50.710892784534465,0.042259077320445385,0.025,0.0271689497716895
BE,CH,0.0,0.0,0.0,0.0,0.0
CZ,CH,0.0,0.0,0.0,0.0,0.0
DE,CH,2700.0,569.8036069838241,0.2110383729569719,0.07831050228310503,0.08401826484018265
DK,CH,0.0,0.0,0.0,0.0,0.0
ES,CH,0.0,0.0,0.0,0.0,0.0
FR,CH,3150.0,2486.3578033905324,0.789319937584296,0.734703196347032,0.7437214611872146
IT,CH,1910.0,0.0,0.0,0.0,0.0
NL,CH,0.0,0.0,0.0,0.0,0.0
NO,CH,0.0,0.0,0.0,0.0,0.0
PL,CH,0.0,0.0,0.0,0.0,0.0
SE,CH,0.0,0.0,0.0,0.0,0.0
UK,CH,0.0,0.0,0.0,0.0,0.0
AT,CZ,900.0,4.9956341490092635,0.005550704610010293,0.00022831050228310502,0.0012557077625570776
BE,CZ,0.0,0.0,0.0,0.0,0.0
CH,CZ,0.0,0.0,0.0,0.0,0.0
DE,CZ,1500.0,47.91955224174586,0.03194636816116391,0.0027397260273972603,0.004223744292237443
DK,CZ,0.0,0.0,0.0,0.0,0.0
ES,CZ,0.0,0.0,0.0,0.0,0.0
FR,CZ,0.0,0.0,0.0,0.0,0.0
IT,CZ,0.0,0.0,0.0,0.0,0.0
NL,CZ,0.0,0.0,0.0,0.0,0.0
NO,CZ,0.0,0.0,0.0,0.0,0.0
PL,CZ,800.0,195.85597557022388,0.24481996946277984,0.21541095890410958,0.2204337899543379
SE,CZ,0.0,0.0,0.0,0.0,0.0
UK,CZ,0.0,0.0,0.0,0.0,0.0
AT,DE,5000.0,498.4790785770233,0.09969581571540466,0.029223744292237442,0.04200913242009133
BE,DE,1000.0,55.888427451327956,0.05588842745132796,0.026027397260273973,0.0295662100456621
CH,DE,4600.0,1105.845906897468,0.2404012841081452,0.19748858447488585,0.2009132420091324
CZ,DE,2100.0,285.4211464559493,0.13591483164569015,0.0091324200913242,0.014611872146118721
DK,DE,2765.0,806.9958280058145,0.2918610589532783,0.0591324200913242,0.09509132420091324
ES,DE,0.0,0.0,0.0,0.0,0.0
FR,DE,1800.0,1417.9804355767997,0.7877669086537776,0.7670091324200913,0.7702054794520548
IT,DE,0.0,0.0,0.0,0.0,0.0
NL,DE,4250.0,0.0,0.0,0.0,0.0
NO,DE,1400.0,746.6151222317675,0.533296515879834,0.5186073059360731,0.5223744292237443
PL,DE,2500.0,684.3671462380313,0.2737468584952125,0.25947488584474887,0.2623287671232877
SE,DE,615.0,378.31784862098647,0.6151509733674577,0.6059360730593607,0.6077625570776256
UK,DE,0.0,0.0,0.0,0.0,0.0
AT,DK,0.0,0.0,0.0,0.0,0.0
BE,DK,0.0,0.0,0.0,0.0,0.0
CH,DK,0.0,0.0,0.0,0.0,0.0
CZ,DK,0.0,0.0,0.0,0.0,0.0
DE,DK,2500.0,726.5773043077444,0.29063092172309773,0.241324200913242,0.2554794520547945
ES,DK,0.0,0.0,0.0,0.0,0.0
FR,DK,0.0,0.0,0.0,0.0,0.0
IT,DK,0.0,0.0,0.0,0.0,0.0
NL,DK,700.0,17.814227255822257,0.02544889607974608,0.01643835616438356,0.01780821917808219
NO,DK,1640.0,749.3750743020233,0.4569360209158679,0.43184931506849317,0.43618721461187215
PL,DK,0.0,0.0,0.0,0.0,0.0
SE,DK,1980.0,1004.0416862366045,0.5070917607255578,0.3963470319634703,0.41997716894977166
UK,DK,0.0,0.0,0.0,0.0,0.0
AT,ES,0.0,0.0,0.0,0.0,0.0
BE,ES,0.0,0.0,0.0,0.0,0.0
CH,ES,0.0,0.0,0.0,0.0,0.0
CZ,ES,0.0,0.0,0.0,0.0,0.0
DE,ES,0.0,0.0,0.0,0.0,0.0
DK,ES,0.0,0.0,0.0,0.0,0.0
FR,ES,2800.0,2510.5044198972355,0.8966087213918699,0.8585616438356164,0.8658675799086758
IT,ES,0.0,0.0,0.0,0.0,0.0
NL,ES,0.0,0.0,0.0,0.0,0.0
NO,ES,0.0,0.0,0.0,0.0,0.0
PL,ES,0.0,0.0,0.0,0.0,0.0
SE,ES,0.0,0.0,0.0,0.0,0.0
UK,ES,0.0,0.0,0.0,0.0,0.0
AT,FR,0.0,0.0,0.0,0.0,0.0
BE,FR,1800.0,0.9501590252023138,0.0005278661251123966,0.0,0.00011415525114155251
CH,FR,1300.0,110.89808215204586,0.08530621704003527,0.07968036529680365,0.08105022831050228
CZ,FR,0.0,0.0,0.0,0.0,0.0
DE,FR,2300.0,152.70140821471432,0.06639191661509318,0.05684931506849315,0.05878995433789954
DK,FR,0.0,0.0,0.0,0.0,0.0
ES,FR,2600.0,26.52822040822828,0.010203161695472415,0.0043378995433789955,0.005365296803652968
IT,FR,2310.0,0.9347006992547621,0.00040463233733972385,0.00034246575342465754,0.00034246575342465754
NL,FR,0.0,0.0,0.0,0.0,0.0
NO,FR,0.0,0.0,0.0,0.0,0.0
PL,FR,0.0,0.0,0.0,0.0,0.0
SE,FR,0.0,0.0,0.0,0.0,0.0
UK,FR,2000.0,0.0,0.0,0.0,0.0
AT,IT,405.0,403.373114954022,0.9959829998864741,0.9950913242009133,0.9953196347031964
BE,IT,0.0,0.0,0.0,0.0,0.0
CH,IT,4240.0,4233.03907045899,0.9983582713346675,0.9922374429223745,0.9938356164383562
