zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235,1878.4065976771062,7505,-968.6407790428891,0.2596277260092752,0.1290660598324969
BE,6700,3620.0061264328606,6200,-2319.202163793917,0.5402994218556508,0.3740648651280511
CH,8960,3104.167631194373,11340,-5937.341222199131,0.3464472802672291,0.5235750636859904
CZ,3200,260.44224931754957,3500,-1038.1644466077446,0.08138820291173424,0.29661841331649846
DE,26030,6011.809431826765,21765,-7825.202697919058,0.23095695089614926,0.3595314816411237
DK,6820,2500.340943433455,7545,-2200.5574111496,0.3666189066617969,0.29165770856853546
ES,2800,2523.124040559073,2600,-27.25754576549015,0.9011157287710975,0.010483671448265442
FR,12310,325.32034370625996,17450,-15858.68643267742,0.026427322803108038,0.9088072454256401
IT,9045,9017.70602773487,4455,-1.621893991079197,0.996982424293518,0.00036406150192574565
NL,9050,6282.498136101885,8050,-1090.4051078439065,0.6941986890720315,0.1354540506638393
NO,7735,1742.6899649862187,7435,-2383.1236740789823,0.2252992844196792,0.32052773020564657
PL,1700,1255.0925472300721,3900,-908.5528324489818,0.7382897336647483,0.23296226473050816
SE,7350,881.7420060394629,7190,-2803.7494314942433,0.1199648987808793,0.38995124221060407
UK,4000,3962.446399375582,4000,-3.286806603089594,0.9906115998438956,0.0008217016507723985
