from_zone,to_zone,ntc_max,avg_sum_year,utilisation_percent,utilisation_equal100,utilisation_bigger90
BE,AT,0,0.0,0.0,0.0,0.0
CH,AT,1200,480.24175724967404,0.40020146437472837,0.33926940639269404,0.35148401826484016
CZ,AT,800,382.30855174359954,0.4778856896794994,0.32054794520547947,0.3541095890410959
DE,AT,5000,1015.8026357158036,0.2031605271431607,0.0045662100456621,0.008333333333333333
DK,AT,0,0.0,0.0,0.0,0.0
ES,AT,0,0.0,0.0,0.0,0.0
FR,AT,0,0.0,0.0,0.0,0.0
IT,AT,235,0.05365296803652968,0.00022831050228310502,0.00022831050228310502,0.00022831050228310502
NL,AT,0,0.0,0.0,0.0,0.0
NO,AT,0,0.0,0.0,0.0,0.0
PL,AT,0,0.0,0.0,0.0,0.0
SE,AT,0,0.0,0.0,0.0,0.0
UK,AT,0,0.0,0.0,0.0,0.0
AT,BE,0,0.0,0.0,0.0,0.0
CH,BE,0,0.0,0.0,0.0,0.0
CZ,BE,0,0.0,0.0,0.0,0.0
DE,BE,1000,515.4314433397909,0.515431443339791,0.4038812785388128,0.4230593607305936
DK,BE,0,0.0,0.0,0.0,0.0
ES,BE,0,0.0,0.0,0.0,0.0
FR,BE,3300,3082.7212006392606,0.9341579395876547,0.8531963470319635,0.8775114155251141
IT,BE,0,0.0,0.0,0.0,0.0
NL,BE,1400,21.29362224080501,0.01520973017200358,0.004908675799086758,0.006506849315068493
NO,BE,0,0.0,0.0,0.0,0.0
PL,BE,0,0.0,0.0,0.0,0.0
SE,BE,0,0.0,0.0,0.0,0.0
UK,BE,1000,0.5598602130066215,0.0005598602130066215,0.00034246575342465754,0.00045662100456621003
AT,CH,1200,51.86747535683025,0.04322289613069187,0.025570776255707764,0.027853881278538814
BE,CH,0,0.0,0.0,0.0,0.0
CZ,CH,0,0.0,0.0,0.0,0.0
DE,CH,2700,587.2161352224006,0.217487457489778,0.08299086757990867,0.09018264840182648
DK,CH,0,0.0,0.0,0.0,0.0
ES,CH,0,0.0,0.0,0.0,0.0
FR,CH,3150,2465.0840206151397,0.782566355750838,0.7264840182648402,0.7363013698630136
IT,CH,1910,0.0,0.0,0.0,0.0
NL,CH,0,0.0,0.0,0.0,0.0
NO,CH,0,0.0,0.0,0.0,0.0
PL,CH,0,0.0,0.0,0.0,0.0
SE,CH,0,0.0,0.0,0.0,0.0
UK,CH,0,0.0,0.0,0.0,0.0
AT,CZ,900,4.979308092098851,0.005532564546776501,0.00022831050228310502,0.0005707762557077625
BE,CZ,0,0.0,0.0,0.0,0.0
CH,CZ,0,0.0,0.0,0.0,0.0
DE,CZ,1500,48.28893087174698,0.03219262058116465,0.002625570776255708,0.0043378995433789955
DK,CZ,0,0.0,0.0,0.0,0.0
ES,CZ,0,0.0,0.0,0.0,0.0
FR,CZ,0,0.0,0.0,0.0,0.0
IT,CZ,0,0.0,0.0,0.0,0.0
NL,CZ,0,0.0,0.0,0.0,0.0
NO,CZ,0,0.0,0.0,0.0,0.0
PL,CZ,800,207.17401035370378,0.2589675129421297,0.23162100456621004,0.23664383561643837
SE,CZ,0,0.0,0.0,0.0,0.0
UK,CZ,0,0.0,0.0,0.0,0.0
AT,DE,5000,508.63359765392295,0.10172671953078459,0.02899543378995434,0.043949771689497714
BE,DE,1000,58.409236719544076,0.05840923671954407,0.0273972602739726,0.03139269406392694
CH,DE,4600,1114.714708665636,0.24232928449252955,0.19680365296803654,0.20102739726027397
CZ,DE,2100,291.71344969584203,0.13891116652182953,0.008105022831050229,0.013242009132420091
DK,DE,2765,809.5656480449636,0.29279046945568304,0.05878995433789954,0.09452054794520548
ES,DE,0,0.0,0.0,0.0,0.0
FR,DE,1800,1407.5063989259963,0.7819479994033313,0.7578767123287671,0.7627853881278539
IT,DE,0,0.0,0.0,0.0,0.0
NL,DE,4250,0.0,0.0,0.0,0.0
NO,DE,1400,748.8205427508043,0.5348718162505745,0.5214611872146119,0.5237442922374429
PL,DE,2500,696.5621187386461,0.2786248474954584,0.26472602739726026,0.26723744292237445
SE,DE,615,375.88373063140995,0.611193057937252,0.6017123287671233,0.6038812785388128
UK,DE,0,0.0,0.0,0.0,0.0
AT,DK,0,0.0,0.0,0.0,0.0
BE,DK,0,0.0,0.0,0.0,0.0
CH,DK,0,0.0,0.0,0.0,0.0
CZ,DK,0,0.0,0.0,0.0,0.0
DE,DK,2500,723.7473288204814,0.28949893152819256,0.2415525114155251,0.2547945205479452
ES,DK,0,0.0,0.0,0.0,0.0
FR,DK,0,0.0,0.0,0.0,0.0
IT,DK,0,0.0,0.0,0.0,0.0
NL,DK,700,18.819006104728313,0.02688429443532616,0.017579908675799085,0.01952054794520548
NO,DK,1640,750.9859822766873,0.45791828187602884,0.4312785388127854,0.4355022831050228
PL,DK,0,0.0,0.0,0.0,0.0
SE,DK,1980,1006.788626231558,0.5084791041573525,0.40308219178082194,0.426027397260274
UK,DK,0,0.0,0.0,0.0,0.0
AT,ES,0,0.0,0.0,0.0,0.0
BE,ES,0,0.0,0.0,0.0,0.0
CH,ES,0,0.0,0.0,0.0,0.0
CZ,ES,0,0.0,0.0,0.0,0.0
DE,ES,0,0.0,0.0,0.0,0.0
DK,ES,0,0.0,0.0,0.0,0.0
FR,ES,2800,2523.124040559075,0.9011157287710982,0.8606164383561644,0.8683789954337899
IT,ES,0,0.0,0.0,0.0,0.0
NL,ES,0,0.0,0.0,0.0,0.0
NO,ES,0,0.0,0.0,0.0,0.0
PL,ES,0,0.0,0.0,0.0,0.0
SE,ES,0,0.0,0.0,0.0,0.0
UK,ES,0,0.0,0.0,0.0,0.0
AT,FR,0,0.0,0.0,0.0,0.0
BE,FR,1800,1.0488031961033923,0.0005826684422796624,0.00022831050228310502,0.00022831050228310502
CH,FR,1300,111.51732552583046,0.08578255809679267,0.08002283105022831,0.08162100456621005
CZ,FR,0,0.0,0.0,0.0,0.0
DE,FR,2300,183.92842819579323,0.07996888182425793,0.06894977168949772,0.07111872146118721
DK,FR,0,0.0,0.0,0.0,0.0
ES,FR,2600,27.257545765490157,0.010483671448265446,0.0046803652968036525,0.005365296803652968
IT,FR,2310,1.5682410230426673,0.0006788922177673885,0.00034246575342465754,0.00045662100456621003
NL,FR,0,0.0,0.0,0.0,0.0
NO,FR,0,0.0,0.0,0.0,0.0
PL,FR,0,0.0,0.0,0.0,0.0
SE,FR,0,0.0,0.0,0.0,0.0
UK,FR,2000,0.0,0.0,0.0,0.0
AT,IT,405,403.160397940039,0.9954577726914543,0.9942922374429224,0.9945205479452055
BE,IT,0,0.0,0.0,0.0,0.0
CH,IT,4240,4230.867430757991,0.9978460921599036,0.9899543378995433,0.992579908675799
CZ,IT,0,0.0,0.0,0.0,0.0
DE,IT,0,0.0,0.0,0.0,0.0
DK,IT,0,0.0,0.0,0.0,0.0
ES,IT,0,0.0,0.0,0.0,0.0
FR,IT,4400,4383.678199036841,0.9962904997811002,0.9940639269406393,0.9947488584474886
NL,IT,0,0.0,0.0,0.0,0.0
NO,IT,0,0.0,0.0,0.0,0.0
PL,IT,0,0.0,0.0,0.0,0.0
SE,IT,0,0.0,0.0,0.0,0.0
UK,IT,0,0.0,0.0,0.0,0.0
AT,NL,0,0.0,0.0,0.0,0.0
BE,NL,2400,1268.859018266469,0.5286912576110288,0.30810502283105023,0.35707762557077627
CH,NL,0,0.0,0.0,0.0,0.0
CZ,NL,0,0.0,0.0,0.0,0.0
DE,NL,4250,3811.9937537914334,0.8969397067744549,0.7337899543378995,0.7811643835616439
DK,NL,700,627.1908229883827,0.8959868899834038,0.852054794520548,0.8628995433789954
ES,NL,0,0.0,0.0,0.0,0.0
FR,NL,0,0.0,0.0,0.0,0.0
IT,NL,0,0.0,0.0,0.0,0.0
NO,NL,700,571.7275946655152,0.8167537066650217,0.7940639269406393,0.7984018264840183
PL,NL,0,0.0,0.0,0.0,0.0
SE,NL,0,0.0,0.0,0.0,0.0
UK,NL,1000,2.7269463900829733,0.0027269463900829734,0.0013698630136986301,0.0015981735159817352
AT,NO,0,0.0,0.0,0.0,0.0
BE,NO,0,0.0,0.0,0.0,0.0
CH,NO,0,0.0,0.0,0.0,0.0
CZ,NO,0,0.0,0.0,0.0,0.0
DE,NO,1400,445.7933849932803,0.31842384642377164,0.30490867579908676,0.3078767123287671
DK,NO,1640,388.10364346904896,0.2366485630908835,0.2067351598173516,0.213013698630137
ES,NO,0,0.0,0.0,0.0,0.0
FR,NO,0,0.0,0.0,0.0,0.0
IT,NO,0,0.0,0.0,0.0,0.0
NL,NO,700,75.30375863569923,0.10757679805099889,0.08550228310502284,0.08892694063926941
PL,NO,0,0.0,0.0,0.0,0.0
SE,NO,3995,833.4891778881898,0.20863308582933413,0.17317351598173517,0.175
UK,NO,0,0.0,0.0,0.0,0.0
AT,PL,0,0.0,0.0,0.0,0.0
BE,PL,0,0.0,0.0,0.0,0.0
CH,PL,0,0.0,0.0,0.0,0.0
CZ,PL,600,364.1424451683031,0.6069040752805052,0.5815068493150685,0.5868721461187215
DE,PL,500,303.36220531868247,0.6067244106373649,0.6017123287671233,0.6031963470319635
DK,PL,0,0.0,0.0,0.0,0.0
ES,PL,0,0.0,0.0,0.0,0.0
FR,PL,0,0.0,0.0,0.0,0.0
IT,PL,0,0.0,0.0,0.0,0.0
NL,PL,0,0.0,0.0,0.0,0.0
NO,PL,0,0.0,0.0,0.0,0.0
SE,PL,600,587.5878967430864,0.9793131612384773,0.9700913242009133,0.9723744292237443
UK,PL,0,0.0,0.0,0.0,0.0
AT,SE,0,0.0,0.0,0.0,0.0
BE,SE,0,0.0,0.0,0.0,0.0
CH,SE,0,0.0,0.0,0.0,0.0
CZ,SE,0,0.0,0.0,0.0,0.0
DE,SE,615,189.63845164965156,0.30835520593439275,0.3026255707762557,0.30319634703196346
DK,SE,2440,375.69729664720404,0.15397430190459183,0.05011415525114155,0.0636986301369863
ES,SE,0,0.0,0.0,0.0,0.0
FR,SE,0,0.0,0.0,0.0,0.0
IT,SE,0,0.0,0.0,0.0,0.0
NL,SE,0,0.0,0.0,0.0,0.0
NO,SE,3695,311.5895543859752,0.0843273489542558,0.06312785388127853,0.06472602739726027
PL,SE,600,4.81670335663242,0.0080278389277207,0.0030821917808219177,0.004452054794520548
UK,SE,0,0.0,0.0,0.0,0.0
AT,UK,0,0.0,0.0,0.0,0.0
BE,UK,1000,990.8851056117999,0.9908851056117999,0.9848173515981735,0.9863013698630136
CH,UK,0,0.0,0.0,0.0,0.0
CZ,UK,0,0.0,0.0,0.0,0.0
DE,UK,0,0.0,0.0,0.0,0.0
DK,UK,0,0.0,0.0,0.0,0.0
ES,UK,0,0.0,0.0,0.0,0.0
FR,UK,2000,1996.5725729011076,0.9982862864505538,0.9976027397260274,0.997716894977169
IT,UK,0,0.0,0.0,0.0,0.0
NL,UK,1000,974.9887208626725,0.9749887208626725,0.9658675799086758,0.9678082191780822
NO,UK,0,0.0,0.0,0.0,0.0
PL,UK,0,0.0,0.0,0.0,0.0
SE,UK,0,0.0,0.0,0.0,0.0
