from,to,constrained_maximum_mean
AT,CH,0.36484018264840185
AT,CZ,0.3207762557077626
AT,DE,0.03356164383561644
AT,IT,0.9945205479452055
BE,DE,0.4312785388127854
BE,FR,0.8534246575342466
BE,NL,0.313013698630137
BE,UK,0.9851598173515982
CH,DE,0.2797945205479452
CH,FR,0.8065068493150684
CH,IT,0.9899543378995433
CZ,DE,0.010730593607305937
CZ,PL,0.8131278538812785
DE,DK,0.30034246575342466
DE,FR,0.8268264840182649
DE,NL,0.7337899543378995
DE,NO,0.8263698630136986
DE,PL,0.8664383561643836
DE,SE,0.904337899543379
DK,NL,0.8696347031963471
DK,NO,0.638013698630137
DK,SE,0.4531963470319635
ES,FR,0.865296803652968
FR,IT,0.994406392694064
FR,UK,0.9976027397260274
NL,NO,0.8795662100456622
NL,UK,0.9672374429223745
NO,SE,0.2363013698630137
PL,SE,0.9731735159817352
