zone,max_import_ntc,avg_import,max_export_ntc,avg_export,utilisation_in,utilisation_out
AT,7235.0,1827.0850663590747,7505.0,-940.9787123521772,0.2525342178796233,0.12538024148596633
BE,6700.0,3776.816586989717,6200.0,-2451.459441092611,0.5637039682074204,0.39539668404719536
CH,8960.0,3091.887625356782,11340.0,-5943.691125338096,0.34507674390142656,0.5241350198710842
CZ,3200.0,240.42663692432183,3500.0,-1045.160257863457,0.07513332403885058,0.2986172165324163
DE,26030.0,5946.789226669453,21765.0,-7831.142207946816,0.22845905596117758,0.35980437436006507
DK,6820.0,2519.7521258149336,7545.0,-2241.949841706873,0.36946512108723367,0.297143782863734
ES,2800.0,2562.2912164586787,2600.0,-19.074224652092866,0.9151040058780996,0.007336240250804949
FR,12310.0,287.0919711815035,17450.0,-16091.035305654554,0.023321849811657473,0.9221223670862209
IT,9045.0,9040.489719870504,4455.0,-0.05365296803652968,0.9995013510083476,1.2043314935247963e-5
NL,9050.0,6516.726289477731,8050.0,-1088.1848034319448,0.7200802529809648,0.13517823645117327
NO,7735.0,1749.844448170703,7435.0,-2390.2781572634594,0.22622423376479675,0.321490000976928
PL,1700.0,1296.0095832591696,3900.0,-860.8103300215791,0.7623585783877468,0.22072059744143055
SE,7350.0,929.0328691289656,7190.0,-2861.945000263842,0.1263990298134647,0.39804520170568036
UK,4000.0,3983.352111177309,4000.0,-1.8324162833120288,0.9958380277943272,0.00045810407082800717
